Date,ARIMA,RandomForest,LSTM,NaiveZero,ResidualHybrid,ConfidenceWeight,RegimeSwitching,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.001712395906417047,0.003351721207821397,0.0013815411366522312,0.0,0.0014581734765242865,0.0017123983014709504,0.003351721207821397,0.001712395906417047,HOLD,LOW,HIGH,Volatile,0.027681215766238953,3.0701295718157318,0,0,2,ARIMA
2022-10-18,-0.001963097262606816,0.0037293606015871687,0.001652899431064725,0.0,-0.0007671205127725519,0.0016528992263355714,0.0037293606015871687,-0.001963097262606816,HOLD,LOW,HIGH,Volatile,0.02754279863698027,3.0412333720954874,0,0,2,ARIMA
2022-10-19,0.002024218726764574,0.006749600359943704,0.0018192833522334695,0.0,0.0016180761851131422,0.0020242233476622687,0.006749600359943704,0.002024218726764574,HOLD,LOW,HIGH,Volatile,0.02763172312519824,3.1042786932298685,0,0,2,ARIMA
2022-10-20,8.170782752733792e-05,-0.0006140554281036697,0.0016024233773350716,0.0,0.0007917798124204354,8.170860395744075e-05,-0.0006140554281036697,8.170782752733792e-05,HOLD,LOW,HIGH,Volatile,0.027545556419337907,3.0950842646353385,0,0,2,ARIMA
2022-10-21,0.00055509891535194,0.005727661106588166,0.001622975803911686,0.0,0.0006742666227716107,0.0016229764950934367,0.005727661106588166,0.00055509891535194,HOLD,LOW,MEDIUM,Volatile,0.023498687516198047,2.9269662700392334,0,0,1,ARIMA
2022-10-24,0.0001575718413671545,-0.002964378498709875,0.0015522658359259367,0.0,0.0009752891770395929,0.00015757144549814075,-0.002964378498709875,0.0001575718413671545,HOLD,LOW,MEDIUM,Volatile,0.022337336488051026,2.869175726203824,0,0,1,ARIMA
2022-10-25,0.0009413825986030338,0.0070301505692593365,0.0015783014241605997,0.0,0.0008111260311898917,0.001578302805948309,0.0070301505692593365,0.0009413825986030338,HOLD,LOW,MEDIUM,Volatile,0.02261156732270871,2.707623739618634,0,0,1,ARIMA
2022-10-26,-3.845279004226974e-05,0.0032894669993255733,0.001752837561070919,0.0,0.0005199593389232208,0.0017528374687759986,0.0032894669993255733,-3.845279004226974e-05,HOLD,LOW,MEDIUM,Volatile,0.021827940647983424,2.5828487355589353,0,0,1,ARIMA
2022-10-27,-0.00016924297038652878,0.007404580939097531,0.0018889553612098098,0.0,0.00022101440032909204,0.0018889556653626182,0.007404580939097531,-0.00016924297038652878,HOLD,LOW,MEDIUM,Volatile,0.021706299311106292,2.536878896674792,0,0,1,ARIMA
2022-10-28,0.0013323799668368255,0.004477177290882659,0.002103353850543499,0.0,0.0014579375970830044,0.002103354723342045,0.004477177290882659,0.0013323799668368255,HOLD,LOW,MEDIUM,Volatile,0.021259080539365826,2.559863834329989,0,0,1,ARIMA
2022-10-31,-0.000296432132496649,-0.0032345198142704006,0.0019577285274863243,0.0,0.0008839168542849232,-0.0002964322356016008,0.0019577285274863243,-0.000296432132496649,HOLD,MEDIUM,LOW,Bullish,0.01920930552639903,2.590072531107982,0,1,0,ARIMA
2022-11-01,0.0013186713005931357,-0.0062496054712953605,0.0018524277256801724,0.0,0.002058822777997702,0.0013186695661684287,0.0018524277256801724,0.0013186713005931357,BUY,MEDIUM,LOW,Bullish,0.018177451229094768,2.6058334958954004,1,1,0,ARIMA
2022-11-02,-0.0003436830812834052,-0.002848466171656468,0.001790219801478088,0.0,0.000755157722791809,-0.00034368315055185685,0.001790219801478088,-0.0003436830812834052,SELL,HIGH,LOW,Bullish,0.017665741104455818,2.4574169742305876,-1,2,0,ARIMA
2022-11-03,0.0005494264532953299,-0.009710662642823546,0.0019742753356695175,0.0,0.0018587596443419532,0.0005494258498962675,0.0019742753356695175,0.0005494264532953299,HOLD,LOW,LOW,Bullish,0.016863647613756232,2.4777754052448677,0,0,0,ARIMA
2022-11-04,-0.0005103319762821922,-0.008226148783039608,0.0018723082030192018,0.0,0.0010463132789855101,-0.0005103322660623655,0.0018723082030192018,-0.0005103319762821922,SELL,MEDIUM,LOW,Bullish,0.016571535057356597,2.472520624228014,-1,1,0,ARIMA
2022-11-07,0.0013646354885323002,-0.0022873185508450657,0.0017965672304853797,0.0,0.0017978582545051399,0.0013646334576972383,0.0017965672304853797,0.0013646354885323002,BUY,HIGH,LOW,Bullish,0.015325767679306218,2.3897753060761437,1,2,0,ARIMA
2022-11-08,0.00016164543929959272,-0.004123128250165204,0.0016863694181665778,0.0,0.0011140329450885116,0.00016164501757795228,0.0016863694181665778,0.00016164543929959272,HOLD,MEDIUM,LOW,Bullish,0.014920485273220156,2.31556599638107,0,1,0,ARIMA
2022-11-09,0.00015493032307135256,0.0015876507224799664,0.0016618423396721482,0.0,0.0007163107630635982,0.0015876382945627459,0.0016618423396721482,0.00015493032307135256,HOLD,HIGH,LOW,Bullish,0.019109141363911845,2.5677445462483695,0,2,0,ARIMA
2022-11-10,0.0004910672962004849,-0.005234028177599404,0.002000354463234544,0.0,0.0015332631801156797,0.0004910668091213929,0.002000354463234544,0.0004910672962004849,BUY,MEDIUM,LOW,Bullish,0.017992652417352338,2.6097740812016355,1,1,0,ARIMA
2022-11-11,-0.0018150366146708295,-0.004054555742517053,0.0020106828305870295,0.0,4.105232315080925e-06,-0.0018150364297969581,0.0020106828305870295,-0.0018150366146708295,SELL,MEDIUM,LOW,Bullish,0.017402096746956437,2.704339493888539,-1,1,0,ARIMA
2022-11-14,0.002709654727622167,-0.008561210681301085,0.0019160658121109009,0.0,0.0031189108927011074,0.0019160646506066635,0.0019160658121109009,0.002709654727622167,HOLD,LOW,LOW,Bullish,0.017334276164605766,2.69825224235004,0,0,0,ARIMA
2022-11-15,-5.5360815823923674e-05,-0.013206763394114678,0.0018248293781653047,0.0,0.0016464231667094069,-5.5361271093922044e-05,0.0018248293781653047,-5.5360815823923674e-05,HOLD,LOW,LOW,Bullish,0.017300744335295683,2.6800847631236997,0,0,0,ARIMA
2022-11-16,-0.000839246755494373,-0.0027917968204765487,0.0017851066077128053,0.0,0.0004365452420300634,-0.0008392466246237232,0.0017851066077128053,-0.000839246755494373,SELL,HIGH,LOW,Bullish,0.01685337513138674,2.678726869145727,-1,2,0,ARIMA
2022-11-17,0.0022528937992103122,0.0005968970934224014,0.0018812252674251795,0.0,0.002201746950882004,0.001881223368659197,0.0018812252674251795,0.0022528937992103122,BUY,HIGH,LOW,Bullish,0.016853582821177403,2.6005599153578913,1,2,0,ARIMA
