Strategy,Tickers,TotalFinalValue,AvgFinalValue,AvgReturn,AvgAlpha,AvgSharpe,AvgMaxDrawdown,AvgExposure
RegimeSwitching,6,745285.0914504814,124214.18190841358,24.214181908413565,-82.33446316593665,0.43024101635002204,-21.312529828184392,58.364389233954455
ResidualHybrid,6,731837.2146892836,121972.86911488061,21.972869114880613,-84.57577595946961,0.39258386093411185,-20.656844085422037,59.54451345755694
LSTM,6,701520.4190643481,116920.06984405802,16.920069844058002,-89.6285752302922,0.38026364257229045,-18.906593738940018,54.24430641821946
ARIMA,6,689449.0591849786,114908.17653082976,14.908176530829769,-91.64046854352046,0.22585557135839893,-41.18611291988085,80.74709025795983
ConfidenceWeight,6,642752.7296499794,107125.45494166324,7.125454941663226,-99.423190132687,0.14635152788120004,-22.844874747171463,57.43271221532091
RandomForest,6,573360.8710775948,95560.14517959913,-4.43985482040087,-110.98849989475109,-0.12456918980325926,-24.18989989611356,38.05383022774327
