Date,E2_LinearStacker_ARIMA,E2_LinearStacker_RandomForest,E2_LinearStacker_LSTM,E3_RollingRMSE_ARIMA,E3_RollingRMSE_RandomForest,E3_RollingRMSE_LSTM,E5_RegimeSwitch_Model,E6_ResidualHybrid_RandomForest,E6_ResidualHybrid_LSTM,E7_ConfidenceWeight_ARIMA,E7_ConfidenceWeight_RandomForest,E7_ConfidenceWeight_LSTM
2019-11-21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33727664241503763,0.3274287792158891,0.33529457836907317,RandomForest,0.10316892973282217,0.5124113932389319,0.00027370056937020277,0.0003234477723838073,0.9994028516582459
2019-11-22,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33751502878307726,0.3271498485775814,0.33533512263934145,RandomForest,0.10316892973282217,0.5124113932389319,0.00024031563900933916,0.0001221298814619831,0.9996375544795287
2019-11-25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33453340431010714,0.3305948316513558,0.334871764038537,RandomForest,0.10316892973282217,0.5124113932389319,0.9979597249866516,0.0015788382755840228,0.00046143673776427157
2019-11-26,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3342104366505365,0.33012712323938487,0.33566244011007856,RandomForest,0.10316892973282217,0.5124113932389319,0.0003028818222764549,0.0001696043846978039,0.9995275137930257
2019-11-27,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3334969827912179,0.33081149553625205,0.33569152167253014,RandomForest,0.10316892973282217,0.5124113932389319,0.0009647320040385705,0.0008378010020477891,0.9981974669939137
2019-11-29,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3335177379922286,0.330557408088859,0.3359248539189124,RandomForest,0.10316892973282217,0.5124113932389319,0.0007160710112918191,7.97530929805285e-05,0.9992041758957276
2019-12-02,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33335992589700925,0.33051180956761583,0.336128264535375,RandomForest,0.10316892973282217,0.5124113932389319,0.9986890309541672,0.0001549006301575103,0.0011560684156753287
2019-12-03,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3332434943185063,0.3313229869966943,0.3354335186847993,RandomForest,0.10316892973282217,0.5124113932389319,0.9989981603422714,0.0002489971359875017,0.0007528425217410666
2019-12-04,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333646617548727,0.33135844347939386,0.3352768947657334,RandomForest,0.10316892973282217,0.5124113932389319,0.998722774951183,0.0003753545115397774,0.0009018705372772037
2019-12-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33334662752875815,0.33118634873981206,0.3354670237314298,RandomForest,0.10316892973282217,0.5124113932389319,0.9990976471638343,0.00015359245892309305,0.0007487603772425582
2019-12-06,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33355319682786017,0.33073877086587933,0.3357080323062604,RandomForest,0.10316892973282217,0.5124113932389319,0.0005456569180275979,0.0002791765037346752,0.9991751665782377
2019-12-09,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33958273938784733,0.31471738228875895,0.34569987832339366,RandomForest,0.10316892973282217,0.5124113932389319,0.9993502841008193,0.00025936148509394044,0.000390354414086751
2019-12-10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3310210457559189,0.32630075084714627,0.34267820339693494,RandomForest,0.10316892973282217,0.5124113932389319,0.0007360258155124171,0.9983139091369486,0.0009500650475389772
2019-12-11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33167245226827596,0.3278039743242901,0.3405235734074338,RandomForest,0.10316892973282217,0.5124113932389319,0.9988709080050235,0.0007946834346858529,0.00033440856029066745
2019-12-12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33087205577682827,0.3249965487597365,0.34413139546343524,RandomForest,0.10316892973282217,0.5124113932389319,0.0003838938541797107,0.9972096399177205,0.0024064662280997577
2019-12-13,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3303792521845667,0.32822361247029014,0.34139713534514315,RandomForest,0.10316892973282217,0.5124113932389319,0.9990477104500738,0.0006929153762268458,0.00025937417369932406
2019-12-16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3298764700467218,0.328842683019564,0.34128084693371413,RandomForest,0.10316892973282217,0.5124113932389319,0.0002531491069842058,0.00018969544969211637,0.9995571554433237
2019-12-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33671572164470903,0.3238033613052091,0.33948091705008193,RandomForest,0.10316892973282217,0.5124113932389319,0.9993969099556632,0.00041312707464763134,0.00018996296968916407
2019-12-18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3374049739853749,0.32248633489329853,0.3401086911213266,RandomForest,0.10316892973282217,0.5124113932389319,0.0002914114930800919,0.02386955532829472,0.9758390331786252
2019-12-19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33744295830923804,0.3252035484156059,0.33735349327515596,RandomForest,0.10316892973282217,0.5124113932389319,0.00020793106639152814,0.00013465245526659116,0.9996574164783419
