Date,ARIMA,RandomForest,LSTM,NaiveZero,NaiveLag1,E1_EqualAverage,E2_LinearStacker,E3_RollingRMSE,E4_SignalVoting,E5_RegimeSwitch,E6_ResidualHybrid,E7_ConfidenceWeight,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.004877780927258891,-0.0004925730490365233,8.651273674331605e-05,0.0,-0.023947120744528417,0.0014905735383218945,0.003325234489783262,0.001484774578737082,0.0024821468320011036,0.004877780927258891,0.003917306370084789,8.651424903423534e-05,0.004877780927258891,BUY,MEDIUM,MEDIUM,Bearish,0.018221560818316836,99.18711635044643,1,1,1,ARIMA
2022-10-18,-0.004647904096521585,-0.004015643610344531,-0.0006898075807839632,0.0,0.026135524557561848,-0.0031177850958833595,-0.004121902474564828,-0.0030970208189269517,-0.0031177850958833595,-0.004647904096521585,-0.004357957219086504,-0.004015642334200216,-0.004647904096521585,SELL,HIGH,MEDIUM,Bearish,0.01837664772217749,98.38070242745536,-1,2,1,ARIMA
2022-10-19,0.0012360035655511724,-0.002356900375382322,-0.00040654095937497914,0.0,0.011362768207087462,-0.0005091459230687096,0.0003553614867543433,-0.0004986377377628631,-0.0013817206673786505,0.0012360035655511724,0.0006748692290606221,-0.0004065410552453381,0.0012360035655511724,BUY,HIGH,MEDIUM,Bearish,0.018057544551083302,95.05426897321429,1,2,1,ARIMA
2022-10-20,0.0015038108557798874,-0.00045238865105431345,-0.00036232671118341386,0.0,-0.006694455239684375,0.00022969849784738668,0.0009260584715700426,0.00023119444380867766,-0.0004073576811188637,0.0015038108557798874,0.0011476503554565796,-0.000362316384163749,0.0015038108557798874,BUY,HIGH,MEDIUM,Bearish,0.01804777994802378,94.50069754464286,1,2,1,ARIMA
2022-10-21,0.001079720428801226,-0.001629255869991404,-5.087931640446186e-06,0.0,-0.007982686738766696,-0.00018487445761020807,0.00043127069545456393,-0.0001727595329041531,-0.0008171719008159251,0.001079720428801226,0.0006646428926921383,-5.088236823402816e-06,0.001079720428801226,BUY,HIGH,MEDIUM,Bearish,0.01843115001689651,94.33926827566964,1,2,1,ARIMA
2022-10-24,-0.002816125443291248,-0.00015153945870479486,-0.0012606673408299685,0.0,0.023447759860447268,-0.001409444080942004,-0.002128909640603995,-0.001417107844001643,-0.001409444080942004,-0.002816125443291248,-0.0023823966992335124,-0.0012606675987446865,-0.002816125443291248,SELL,HIGH,MEDIUM,Bearish,0.01839015671466141,91.1678466796875,-1,2,1,ARIMA
2022-10-25,0.0006266813240809654,6.90165665417777e-05,-0.001281937351450324,0.0,0.011811940205111494,-0.00019541315360919366,0.00032276736930898135,-0.00020394779877299223,0.00034784894531137155,0.0006266813240809654,0.00045340985359507656,6.901551887992907e-05,0.0006266813240809654,BUY,HIGH,MEDIUM,Bearish,0.01863106192285025,89.82927594866071,1,2,1,ARIMA
2022-10-26,-0.0009690615469379966,-0.001560735730824118,-0.0013889021938666701,0.0,0.01613577001587496,-0.001306233157209595,-0.0011291872231182737,-0.001305315067090482,-0.001306233157209595,-0.0009690615469379966,-0.0010692511904120874,-0.001388898811754066,-0.0009690615469379966,SELL,HIGH,MEDIUM,Bearish,0.01833367207863679,90.06998116629464,-1,2,1,ARIMA
2022-10-27,0.0025245247847739717,-0.0025743047206539388,-0.000530762248672545,0.0,-0.007415140398989885,-0.000193514061517504,0.0012015281257469707,-0.00018482580767892364,-0.0015525334846632419,0.0025245247847739717,0.0016904531751576663,-0.000530762086892023,0.0025245247847739717,BUY,MEDIUM,MEDIUM,Bearish,0.01763805939147611,85.2392578125,1,1,1,ARIMA
2022-10-28,0.0006021859770328874,0.0013205282437336048,0.000168073529493995,0.0,-0.006101185053184453,0.0006969292500868291,0.0007011472605040339,0.0006926093608150884,0.0006969292500868291,0.0006021859770328874,0.0006746395829009226,0.0006021868817934053,0.0006021859770328874,BUY,HIGH,MEDIUM,Bearish,0.017795949108343916,87.67140415736607,1,2,1,ARIMA
2022-10-31,-0.002661543923521063,-0.0014392345373504512,-0.0005183322355151176,0.0,0.024328036770856338,-0.0015397035654622106,-0.0022017253310072787,-0.0015335802949819387,-0.0015397035654622106,-0.002661543923521063,-0.0023880784370408667,-0.0014392348041019892,-0.002661543923521063,SELL,HIGH,MEDIUM,Bearish,0.017235450202935907,85.21927315848214,-1,2,1,ARIMA
2022-11-01,0.002950413246074675,0.005207205554361533,-0.0001330456871073693,0.0,-0.007482327030336412,0.0026748577044429464,0.003087420749208816,0.0026532470799330607,0.004078809400218104,0.002950413246074675,0.0030884254846794547,0.0029504131274611,0.002950413246074675,BUY,MEDIUM,MEDIUM,Bearish,0.016010625671497913,87.61284528459821,1,1,1,ARIMA
2022-11-02,0.00014477571801270223,0.0008908139936707703,0.0003412587393540889,0.0,-0.0041096637203590055,0.00045894948367918714,0.0003130137052641965,0.00045655676134912307,0.00045894948367918714,0.00014477571801270223,0.0002537565885828726,0.0003412619645428886,0.00014477571801270223,HOLD,HIGH,MEDIUM,Bearish,0.017044905224561435,83.46500069754464,0,2,1,ARIMA
2022-11-03,0.003415365279426585,-1.3123928100695261e-05,0.0017636420670896769,0.0,-0.025319843737482882,0.0017219611394718554,0.0025664930743062695,0.0017351993525791178,0.0025895036732581306,0.003415365279426585,0.0028755137046651237,0.001763642024581044,0.003415365279426585,BUY,HIGH,MEDIUM,Bearish,0.017055697635821234,78.40928431919643,1,2,1,ARIMA
