Date,ARIMA,RandomForest,LSTM,NaiveZero,NaiveLag1,E1_EqualAverage,E2_LinearStacker,E3_RollingRMSE,E4_SignalVoting,E5_RegimeSwitch,E6_ResidualHybrid,E7_ConfidenceWeight,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.001712395906417047,0.003351721207821397,0.0013815411366522312,0.0,-0.02666043801494311,0.0021485527502968916,0.0021485527502968916,0.0021491771314132895,0.0021485527502968916,0.003351721207821397,0.001458173476524287,0.0017123983014709504,0.001712395906417047,HOLD,LOW,HIGH,Volatile,0.027681215766238953,3.0701295718157318,0,0,2,ARIMA
2022-10-18,-0.001963097262606816,0.0037293606015871687,0.001652899431064725,0.0,0.014313988970685683,0.0011397209233483592,0.001139720923348359,0.0011319748752643029,0.0026911300163259466,0.0037293606015871687,-0.0007671205127725515,0.0016528992263355714,-0.001963097262606816,HOLD,LOW,HIGH,Volatile,0.02754279863698027,3.0412333720954874,0,0,2,ARIMA
2022-10-19,0.002024218726764574,0.006749600359943704,0.0018192833522334695,0.0,0.0017871220851202803,0.003531034146313916,0.0035310341463139156,0.0035300801640920157,0.003531034146313916,0.006749600359943704,0.001618076185113143,0.0020242233476622687,0.002024218726764574,HOLD,LOW,HIGH,Volatile,0.02763172312519824,3.1042786932298685,0,0,2,ARIMA
2022-10-20,8.170782752733792e-05,-0.0006140554281036692,0.0016024233773350716,0.0,0.029231482625912485,0.0003566919255862467,0.0003566919255862467,0.0003541589212480527,0.0008420656024312048,-0.0006140554281036692,0.000791779812420435,8.170860395744075e-05,8.170782752733792e-05,HOLD,LOW,HIGH,Volatile,0.027545556419337907,3.0950842646353385,0,0,2,ARIMA
2022-10-21,0.00055509891535194,0.005727661106588165,0.001622975803911686,0.0,0.00134780864904639,0.0026352452752839302,0.0026352452752839302,0.0026367631084096717,0.0026352452752839302,0.005727661106588165,0.0006742666227716114,0.0016229764950934367,0.00055509891535194,HOLD,LOW,MEDIUM,Volatile,0.023498687516198047,2.9269662700392334,0,0,1,ARIMA
2022-10-24,0.0001575718413671545,-0.002964378498709876,0.0015522658359259367,0.0,0.01839996508038111,-0.000418180273805595,-0.00041818027380559504,-0.00042620712412283577,0.0008549188386465456,-0.002964378498709876,0.0009752891770395925,0.00015757144549814075,0.0001575718413671545,HOLD,LOW,MEDIUM,Volatile,0.022337336488051026,2.869175726203824,0,0,1,ARIMA
2022-10-25,0.0009413825986030338,0.0070301505692593365,0.0015783014241605997,0.0,0.0069659442050586376,0.0031832781973409902,0.0031832781973409894,0.0031903413703776103,0.0031832781973409902,0.0070301505692593365,0.0008111260311898926,0.001578302805948309,0.0009413825986030338,HOLD,LOW,MEDIUM,Volatile,0.02261156732270871,2.707623739618634,0,0,1,ARIMA
2022-10-26,-3.845279004226974e-05,0.0032894669993255733,0.001752837561070919,0.0,-0.006777044499815356,0.001667950590118074,0.0016679505901180743,0.0016669576613129388,0.002521152280198246,0.0032894669993255733,0.000519959338923221,0.0017528374687759986,-3.845279004226974e-05,HOLD,LOW,MEDIUM,Volatile,0.021827940647983424,2.5828487355589353,0,0,1,ARIMA
2022-10-27,-0.00016924297038652878,0.0074045809390975315,0.0018889553612098098,0.0,0.011830011513847142,0.003041431109973604,0.003041431109973604,0.0030404608780980787,0.004646768150153671,0.0074045809390975315,0.0002210144003290929,0.0018889556653626182,-0.00016924297038652878,HOLD,LOW,MEDIUM,Volatile,0.021706299311106292,2.536878896674792,0,0,1,ARIMA
2022-10-28,0.0013323799668368255,0.0044771772908826606,0.002103353850543499,0.0,0.0038194702659917895,0.002637637036087662,0.0026376370360876615,0.0026418183459724423,0.002637637036087662,0.0044771772908826606,0.0014579375970830046,0.002103354723342045,0.0013323799668368255,HOLD,LOW,MEDIUM,Volatile,0.021259080539365826,2.559863834329989,0,0,1,ARIMA
