Date,ARIMA,RandomForest,LSTM,NaiveZero,NaiveLag1,E1_EqualAverage,E2_LinearStacker,E3_RollingRMSE,E4_SignalVoting,E5_RegimeSwitch,E6_ResidualHybrid,E7_ConfidenceWeight,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.0018657004131100267,0.004248082027144187,-0.0026979369577020407,0.0,0.016503882987753633,0.0011386151608507244,0.0011386151608507242,0.001112835476368913,0.003056891220127107,0.004248082027144187,-0.0004945541217871905,0.0018657002127415248,0.0018657004131100267,HOLD,LOW,HIGH,Volatile,0.02647965162080463,3.775210573468972,0,0,2,ARIMA
2022-10-18,-0.002814291915182919,-0.00666529951144389,-0.005944961681962013,0.0,0.041142006810783546,-0.0051415177028629406,-0.00514151770286294,-0.005168252642885448,-0.0051415177028629406,-0.00666529951144389,-0.004162555452058986,-0.005944960616784299,-0.002814291915182919,HOLD,LOW,HIGH,Volatile,0.026672073609034733,3.8567546976967373,0,0,2,ARIMA
2022-10-19,0.0003940600588490114,-0.003258627379493515,-0.006618439219892025,0.0,0.025395405983655677,-0.0031610021801788423,-0.0031610021801788428,-0.003188287218097773,-0.00493853329969277,-0.003258627379493515,-0.0028715581846013643,-0.0032586273556560767,0.0003940600588490114,HOLD,LOW,HIGH,Volatile,0.026172917500313732,3.8307536374885793,0,0,2,ARIMA
2022-10-20,0.0034481935542145853,-0.006175081252843777,-0.0049870614893734455,0.0,-0.019800793939835592,-0.002571316396000879,-0.002571316396000879,-0.0026325240030573116,-0.005581071371108611,-0.006175081252843777,-0.0002217361247019785,-0.004987060767573155,0.0034481935542145853,HOLD,LOW,HIGH,Volatile,0.026011916429046884,3.821948732170264,0,0,2,ARIMA
2022-10-21,-0.0005582480669046321,0.006685961269409325,-0.0023926172871142626,0.0,-0.0032671156163212836,0.0012450319717968103,0.00124503197179681,0.0012543928844683373,-0.0014754326770094472,0.006685961269409325,-0.0018174076397948597,-0.0005582476603549914,-0.0005582480669046321,HOLD,LOW,HIGH,Volatile,0.027638138801239342,3.982346093436139,0,0,2,ARIMA
2022-10-24,-0.004371376705400098,0.005083000544152023,-0.002114915056154132,0.0,0.051194522368598346,-0.00046776373913406916,-0.000467763739134069,-0.00040526882407572896,-0.003243145880777115,0.005083000544152023,-0.003729413549135101,-0.0021149147522653605,-0.004371376705400098,HOLD,LOW,HIGH,Volatile,0.026885505866543813,3.7517022159060383,0,0,2,ARIMA
2022-10-25,0.003264376360313189,-0.0024448840484619858,-0.0010776205454021692,0.0,0.0012263709303710927,-8.604274451698872e-05,-8.604274451698868e-05,-0.00012355268274894806,-0.0017612522969320775,-0.0024448840484619858,0.0014126221978085966,-0.0010776200452852084,0.003264376360313189,HOLD,LOW,HIGH,Volatile,0.02664544669758371,3.714192993163665,0,0,2,ARIMA
2022-10-26,-0.00012431943940587541,0.001817611105749437,-0.0007985421689227223,0.0,0.00261136589862728,0.00029824983247361304,0.00029824983247361304,0.00031405139078192714,-0.0004614308041642989,0.001817611105749437,-0.0005515348760464956,-0.00012431847502411049,-0.00012431943940587541,HOLD,LOW,HIGH,Volatile,0.026507590230471497,3.7175413146920064,0,0,2,ARIMA
2022-10-27,-0.00043448847100677494,0.001425262054136558,-0.0004968035500496626,0.0,0.01142582129084755,0.0001646566776933735,0.00016465667769337345,0.00017984066845350795,-0.00046564601052821877,0.001425262054136558,-0.0005569494886173332,-0.0004344734595570466,-0.00043448847100677494,HOLD,LOW,HIGH,Volatile,0.025894879764406454,3.665294282462486,0,0,2,ARIMA
2022-10-28,0.000681722145802382,0.0006285584052198063,0.00037911077379249036,0.0,0.003940418232486772,0.000563130441604893,0.0005631304416048929,0.000562935091759821,0.000563130441604893,0.0006285584052198063,0.0005356419181217903,0.0006285442533210527,0.000681722145802382,HOLD,LOW,HIGH,Volatile,0.025264180760397444,3.627783603511421,0,0,2,ARIMA
2022-10-31,-0.0005327946334506667,-0.0020163335082288986,0.00014423273387365043,0.0,0.011808121054928684,-0.0008016318026019716,-0.0008016318026019716,-0.0008126917754453805,-0.0012745640708397826,-0.0020163335082288986,-0.00012683744677074554,-0.0005327954329897525,-0.0005327946334506667,HOLD,LOW,MEDIUM,Volatile,0.024901560410462792,3.5407051217683545,0,0,1,ARIMA
2022-11-01,0.0012341346067739245,0.00032366639145003484,-9.577508899383247e-05,0.0,-0.0015876984724846792,0.0004873419697433757,0.0004873419697433756,0.0004812338391337246,0.0007789004991119797,0.00032366639145003484,0.0006255677339731895,0.0003236676683334435,0.0012341346067739245,HOLD,LOW,MEDIUM,Volatile,0.023429889043773296,3.4703736859080436,0,0,1,ARIMA
2022-11-02,-0.0014233296108830656,0.002035068172799344,-0.0010217302478849888,0.0,0.017872423568570113,-0.00013666389532290346,-0.00013666389532290352,-0.0001108593422915279,-0.0012225299293840272,0.002035068172799344,-0.0013967644702005634,-0.0010217280971044026,-0.0014233296108830656,HOLD,LOW,MEDIUM,Volatile,0.023303003514893256,3.1743102069272617,0,0,1,ARIMA
2022-11-03,0.0023400112127986883,-0.0020165020605824656,-0.0005865658167749643,0.0,-0.009250596217970832,-8.768555485291387e-05,-8.768555485291388e-05,-0.00011379791577447105,-0.001301533938678715,-0.0020165020605824656,0.001117003505334131,-0.0005865654598825259,0.0023400112127986883,HOLD,LOW,MEDIUM,Volatile,0.022429070708056924,2.9331715313865985,0,0,1,ARIMA
2022-11-04,-0.0004253201584373576,0.0038000296760309182,-0.000822815578430891,0.0,0.0018098655614271703,0.0008506313130542232,0.0008506313130542232,0.0008752331522283518,-0.0006240678684341244,0.0038000296760309182,-0.0008293103195415359,-0.00042531789183323224,-0.0004253201584373576,HOLD,LOW,MEDIUM,Volatile,0.021767551867556648,2.7864801431240087,0,0,1,ARIMA
2022-11-07,-0.0019005425026776285,0.00032723867039381765,-0.0014472280163317919,0.0,0.0269908692820294,-0.0010068439495385343,-0.0010068439495385343,-0.0009926793295354423,-0.0016738852595047102,0.00032723867039381765,-0.0017877933738055828,-0.0014472263829607434,-0.0019005425026776285,HOLD,LOW,MEDIUM,Volatile,0.02130563378656433,2.621033115724042,0,0,1,ARIMA
