Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
AAPL,ARIMA,100000.0,117632.48120306055,17632.481203060554,17.632481203060557,93.43942095255622,-75.80693974949565,0.3721110715192676,-25.95463032220289,588,73.04347826086956,157,78,51,27,65.38461538461539
GS,RandomForest,100000.0,102183.33204877481,2183.3320487748133,2.183332048774811,206.3330147876571,-204.1496827388823,0.11640281295713177,-20.472431809769397,229,28.4472049689441,250,125,66,59,52.800000000000004
JPM,E5_RegimeSwitch,100000.0,104276.2407206192,4276.2407206192,4.276240720619207,196.57068278636726,-192.29444206574806,0.20139649769857582,-18.621589016895555,131,16.273291925465838,154,77,37,40,48.05194805194805
SPY,LSTM,100000.0,112370.04830254891,12370.048302548908,12.37004830254891,86.12270669476825,-73.75265839221935,0.43779165477900195,-8.463277841619066,267,33.16770186335404,138,69,44,25,63.76811594202898
TSLA,ARIMA,100000.0,101136.4526999179,1136.452699917907,1.1364526999179114,26.74238881699258,-25.60593611707467,0.5729834117489777,-0.15000000000000568,1,0.16891891891891891,2,1,1,0,100.0
XOM,LSTM,100000.0,102328.48432459922,2328.4843245992233,2.3284843245992226,30.083656407759875,-27.75517208316065,0.13869039774228797,-24.60928401590776,728,90.43478260869566,31,15,8,7,53.333333333333336
