Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
GS,RandomForest,100000.0,102183.33204877481,2183.3320487748133,2.183332048774811,206.3330147876571,-204.1496827388823,0.11640281295713177,-20.472431809769397,229,28.4472049689441,250,125,66,59,52.800000000000004
GS,LSTM,100000.0,101924.82381719361,1924.82381719361,1.9248238171936105,206.3330147876571,-204.4081909704635,0.1116177216769908,-22.93438748515252,266,33.04347826086956,109,54,28,26,51.85185185185185
GS,E5_RegimeSwitch,100000.0,92228.20554853832,-7771.794451461683,-7.771794451461678,206.3330147876571,-214.10480923911877,-0.1553746966737539,-25.983177476674868,195,24.22360248447205,232,116,59,57,50.86206896551724
GS,E3_RollingRMSE,100000.0,89878.70467233252,-10121.295327667482,-10.121295327667479,206.3330147876571,-216.45431011532457,-0.2531500784852138,-24.70360743387625,176,21.86335403726708,230,115,65,50,56.52173913043478
GS,E1_EqualAverage,100000.0,88829.54257041709,-11170.457429582908,-11.170457429582903,206.3330147876571,-217.50347221724002,-0.2864342956916075,-25.58254891149684,177,21.987577639751553,232,116,65,51,56.03448275862068
GS,E2_LinearStacker,100000.0,88829.54257041709,-11170.457429582908,-11.170457429582903,206.3330147876571,-217.50347221724002,-0.2864342956916075,-25.58254891149684,177,21.987577639751553,232,116,65,51,56.03448275862068
GS,E4_SignalVoting,100000.0,77373.59333252284,-22626.40666747716,-22.626406667477163,206.3330147876571,-228.95942145513425,-0.5476922276386983,-32.31145982559315,251,31.180124223602483,302,151,80,71,52.980132450331126
GS,E7_ConfidenceWeight,100000.0,77373.59333252284,-22626.40666747716,-22.626406667477163,206.3330147876571,-228.95942145513425,-0.5476922276386983,-32.31145982559315,251,31.180124223602483,302,151,80,71,52.980132450331126
GS,E6_ResidualHybrid,100000.0,60215.83161097553,-39784.16838902447,-39.784168389024465,206.3330147876571,-246.11718317668158,-1.2935654614426264,-44.17578735686439,185,22.981366459627328,316,158,86,72,54.43037974683544
GS,ARIMA,100000.0,57726.88333311604,-42273.11666688396,-42.27311666688396,206.3330147876571,-248.60613145454104,-1.0242647715217645,-53.189576616833634,332,41.24223602484472,464,232,130,102,56.03448275862068
