Date,ARIMA,RandomForest,LSTM,NaiveZero,NaiveLag1,E1_EqualAverage,E2_LinearStacker,E3_RollingRMSE,E4_SignalVoting,E5_RegimeSwitch,E6_ResidualHybrid,E7_ConfidenceWeight,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.00434443930732561,-0.003917896952391321,-0.0008192929672077298,0.0,-0.02332677741841781,-0.00013091687075781366,-0.00013091687075781353,-9.52667705665929e-05,-0.0023685949597995254,-0.003917896952391321,0.0037413920457303068,-0.0008192928382733107,0.00434443930732561,HOLD,LOW,MEDIUM,Volatile,0.02388193142431348,9.748439945331114,0,0,1,ARIMA
2022-10-18,-0.003234220475597189,-0.005966028823035696,-0.001808445667847991,0.0,0.02215352750339694,-0.0036695649888269584,-0.0036695649888269584,-0.0036270062485664976,-0.0036695649888269584,-0.005966028823035696,-0.0036919173186798944,-0.0032342208101977478,-0.003234220475597189,HOLD,LOW,MEDIUM,Volatile,0.02437315136604346,10.198842108533126,0,0,1,ARIMA
2022-10-19,0.0003064404387175053,-0.0027977248759455038,-0.0006468467763625085,0.0,0.023012630514239213,-0.0010460437378635023,-0.0010460437378635023,-0.0010175886660630095,-0.0017222858261540061,-0.0027977248759455038,-1.4765221473377207e-06,-0.0006468473586739019,0.0003064404387175053,HOLD,LOW,MEDIUM,Volatile,0.024357491718061005,10.031109180444316,0,0,1,ARIMA
2022-10-20,0.00190578982275227,-0.0036518856232759626,-0.00017545050650369376,0.0,-0.0066814741855632164,-0.0006405154356757955,-0.0006405154356757955,-0.000595906048687266,-0.0019136680648898282,-0.0036518856232759626,0.0013853719014643578,-0.00017545069903955132,0.00190578982275227,HOLD,LOW,MEDIUM,Volatile,0.023747456671864217,9.941563832449434,0,0,1,ARIMA
2022-10-21,-0.00013482754037047004,-0.00471090040411259,-0.000343636202160269,0.0,-0.003051940329593244,-0.0017297880488811098,-0.0017297880488811098,-0.0016791389800759628,-0.0017297880488811098,-0.00471090040411259,-0.0006873963601175422,-0.0003436407169317831,-0.00013482754037047004,HOLD,LOW,MEDIUM,Volatile,0.024275425389737555,10.352537408246686,0,0,1,ARIMA
2022-10-24,-0.003111287187705642,0.013771115328033275,-0.00216728076338768,0.0,0.04495114669689942,0.002830849125646651,0.002830849125646651,0.0026245863094912893,-0.002639283975546661,0.013771115328033275,-0.0010870244631696236,-0.0021672797690460385,-0.003111287187705642,HOLD,LOW,MEDIUM,Volatile,0.023377916171431697,9.69297042682062,0,0,1,ARIMA
2022-10-25,0.0023292682041732957,0.012696754609010562,-0.001741246785968542,0.0,0.011012650980499025,0.004428258675738438,0.004428258675738438,0.004272904564334441,0.0075130114065919285,0.012696754609010562,0.003955759785766823,0.002329268353285021,0.0023292682041732957,HOLD,LOW,MEDIUM,Volatile,0.02307733822856236,9.45306723886878,0,0,1,ARIMA
2022-10-26,-0.0003150286004460169,-0.006763859053248951,-0.0018008670303970575,0.0,0.011193617958402666,-0.0029599182280306753,-0.002959918228030675,-0.002892525052915778,-0.0029599182280306753,-0.006763859053248951,-0.0009954959468060202,-0.001800867501102919,-0.0003150286004460169,HOLD,LOW,MEDIUM,Volatile,0.022325729989123848,9.493827259561073,0,0,1,ARIMA
2022-10-27,0.00023537934036209744,0.0076198861741651,-0.0014001925010234118,0.0,0.009848796305615129,0.0021516910045012616,0.002151691004501262,0.0020394759101832172,0.0039276327572635985,0.0076198861741651,0.001289698194678065,0.00023537981564037764,0.00023537934036209744,HOLD,LOW,MEDIUM,Volatile,0.021767971905212,9.509870501675639,0,0,1,ARIMA
2022-10-28,0.0004399374418184019,0.003550100132856235,-0.0006986947846598923,0.0,0.004429028967303207,0.0010971142633382483,0.0010971142633382483,0.0010472257233807292,0.0019950187873373185,0.003550100132856235,0.0009210709456462084,0.00043993799720536993,0.0004399374418184019,HOLD,LOW,MEDIUM,Volatile,0.021448303790724408,9.52924818395292,0,0,1,ARIMA
2022-10-31,-0.0005430915693415334,0.002667540516587376,-0.000539412721991539,0.0,0.013667237747182275,0.0005283454084181013,0.0005283454084181011,0.0004904063807631197,-0.0005412521456665362,0.002667540516587376,-0.00014362688917127008,-0.0005392369319004876,-0.0005430915693415334,HOLD,LOW,MEDIUM,Volatile,0.021232927425373384,9.32944207960941,0,0,1,ARIMA
