Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %,SelectionScope,SelectionRule,MinTrades,MinExposure
AAPL,E4_SignalVoting,100000.0,111535.13127775339,11535.13127775339,11.535131277753386,93.43942095255622,-81.90428967480284,0.283843095235765,-30.730104583166362,534,66.33540372670808,141,70,41,29,58.57142857142858,Ticker,Sharpe/Alpha/ProfitLoss/TotalReturn/FinalValue,1,0.0
GS,E5_RegimeSwitch,100000.0,92228.20554853832,-7771.794451461683,-7.771794451461678,206.3330147876571,-214.10480923911877,-0.1553746966737539,-25.983177476674868,195,24.22360248447205,232,116,59,57,50.86206896551724,Ticker,Sharpe/Alpha/ProfitLoss/TotalReturn/FinalValue,1,0.0
JPM,E5_RegimeSwitch,100000.0,104276.2407206192,4276.2407206192,4.276240720619207,196.57068278636726,-192.29444206574806,0.20139649769857582,-18.621589016895555,131,16.273291925465838,154,77,37,40,48.05194805194805,Ticker,Sharpe/Alpha/ProfitLoss/TotalReturn/FinalValue,1,0.0
XOM,E3_RollingRMSE,100000.0,52228.35010551318,-47771.64989448682,-47.77164989448682,30.083656407759875,-77.8553063022467,-1.1172023590151685,-49.18515335658529,458,56.8944099378882,343,171,91,80,53.216374269005854,Ticker,Sharpe/Alpha/ProfitLoss/TotalReturn/FinalValue,1,0.0
SPY,E5_RegimeSwitch,100000.0,105544.46112078993,5544.461120789929,5.544461120789923,86.12270669476825,-80.57824557397832,0.22775834540931672,-9.755214047231497,238,29.565217391304348,254,127,75,52,59.055118110236215,Ticker,Sharpe/Alpha/ProfitLoss/TotalReturn/FinalValue,1,0.0
