Date,E2_LinearStacker_ARIMA,E2_LinearStacker_RandomForest,E2_LinearStacker_LSTM,E3_RollingRMSE_ARIMA,E3_RollingRMSE_RandomForest,E3_RollingRMSE_LSTM,E5_RegimeSwitch_Model,E6_ResidualHybrid_RandomForest,E6_ResidualHybrid_LSTM,E7_ConfidenceWeight_ARIMA,E7_ConfidenceWeight_RandomForest,E7_ConfidenceWeight_LSTM
2022-10-17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33439481295111156,0.3235970444192298,0.3420081426296586,RandomForest,0.12451379499687082,-0.08244571155284725,0.00019352097466114227,0.00032245539378874887,0.9994840236315501
2022-10-18,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3365295135416725,0.32200084238273197,0.34146964407559544,RandomForest,0.12451379499687082,-0.08244571155284725,0.9989343314673702,0.00036553398719075305,0.0007001345454390482
2022-10-19,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3365276789967773,0.3215195801857645,0.34195274081745825,RandomForest,0.12451379499687082,-0.08244571155284725,0.0010463198666832419,0.00046400847327436254,0.9984896716600423
2022-10-20,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3360401113419596,0.32212186810373894,0.34183802055430135,RandomForest,0.12451379499687082,-0.08244571155284725,0.0004798834960719793,0.0002873476385068838,0.9992327688654211
2022-10-21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3363311571201211,0.32187922959269316,0.3417896132871857,RandomForest,0.12451379499687082,-0.08244571155284725,0.004742557565992962,0.0002277860519373709,0.9950296563820696
2022-10-24,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33733473690782106,0.32062907725177275,0.3420361858404062,RandomForest,0.12451379499687082,-0.08244571155284725,0.0010570090296507812,6.266738826571415e-05,0.9988803235820836
2022-10-25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33670944771534145,0.32162141899156027,0.34166913329309817,RandomForest,0.12451379499687082,-0.08244571155284725,0.9996580620470686,9.641311402797353e-05,0.00024552483890333016
2022-10-26,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3376641879702314,0.32105077785466596,0.3412850341751026,RandomForest,0.12451379499687082,-0.08244571155284725,0.0006719807104216146,0.00020127484892021316,0.9991267444406582
2022-10-27,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33865892986391205,0.31992707664793774,0.3414139934881501,RandomForest,0.12451379499687082,-0.08244571155284725,0.9992541230607143,0.00013529932955815444,0.0006105776097276325
2022-10-28,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3390085512663151,0.3200706254167925,0.3409208233168924,RandomForest,0.12451379499687082,-0.08244571155284725,0.9988025363323285,0.00032103834981356895,0.0008764253178578854
2022-10-31,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33839882985882114,0.32150890383734354,0.34009226630383527,RandomForest,0.12451379499687082,-0.08244571155284725,0.17604685800350603,0.00025676695194267824,0.8236963750445514
2022-11-01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33820194598393455,0.3215609094629567,0.34023714455310883,ARIMA,0.12451379499687082,-0.08244571155284725,0.00094551624988884,0.0007260522630162584,0.9983284314870949
2022-11-02,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33852919237209905,0.32060699647147317,0.34086381115642783,ARIMA,0.12451379499687082,-0.08244571155284725,0.9958665919107945,0.0020999703412624116,0.0020334377479430876
2022-11-03,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33874927095562823,0.32064590099900225,0.3406048280453695,LSTM,0.12451379499687082,-0.08244571155284725,0.0007643658565483315,0.00031157443162956917,0.9989240597118221
2022-11-04,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33874245923471097,0.3202187788609976,0.34103876190429155,LSTM,0.12451379499687082,-0.08244571155284725,0.0008744946435606167,0.001418802723003775,0.9977067026334356
2022-11-07,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34094037632186497,0.3177760401259775,0.34128358355215765,LSTM,0.12451379499687082,-0.08244571155284725,0.0011802236164016734,0.9961553469623691,0.0026644294212292354
2022-11-08,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3407105602362942,0.31835360287707726,0.34093583688662865,LSTM,0.12451379499687082,-0.08244571155284725,0.0007888719536684029,0.0014544998895522597,0.9977566281567793
