Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ExperimentId,ExperimentMethod,ARIMA_d_meta,ARIMA_d_test,target_mode,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode,residual_weight_RandomForest,residual_weight_LSTM
GS,ARIMA,0.01199058292578657,114.99512159821805,0.01700844925318059,-0.01620427578245831,0.5006211180124224,-0.018049573043188417,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,RandomForest,0.01269441088151108,198.19036467712485,0.01768208893605735,-0.09829428057706635,0.5043478260869565,0.010428714280423475,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,LSTM,0.01207049096310241,118.9350998219607,0.016966858931496718,-0.011240555899132865,0.4795031055900621,-0.04055023496944327,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,NaiveZero,0.011969806113596245,100.0,0.016931795911553332,-0.007065297441100737,0.5503105590062112,0.0,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,NaiveLag1,0.016810098309965393,420.00403507469787,0.023292106024756017,-0.9057639059984275,0.5180124223602485,0.04560268184224141,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E1_EqualAverage,0.012065436956019504,127.35128874649779,0.01701118228424481,-0.01653088298231986,0.4956521739130435,-0.011473649124106514,E1,equal_average,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E2_LinearStacker,0.012065436956019504,127.35128874649779,0.01701118228424481,-0.01653088298231986,0.4956521739130435,-0.011473649124106514,E2,linear_stacker,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E3_RollingRMSE,0.012062618228116141,126.79203707600738,0.01701051300508747,-0.016450896825229044,0.4956521739130435,-0.012679792627878285,E3,rolling_rmse,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E4_SignalVoting,0.012095908811063616,137.29800589268885,0.01698569794706791,-0.013487448278466152,0.493167701863354,0.001567873837660947,E4,signal_voting,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E5_RegimeSwitch,0.012118705041824893,138.00261861095936,0.017181854484561245,-0.037030797094656176,0.4906832298136646,0.011063887442862134,E5,regime_switching,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E6_ResidualHybrid,0.011999288232037162,119.45864818176122,0.017015080269685453,-0.016996797284499765,0.5018633540372671,-0.019395669955633115,E6,residual_hybrid,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
GS,E7_ConfidenceWeight,0.012000747166270101,115.52399291531297,0.016887389470423092,-0.001789833098313709,0.493167701863354,-0.015730312265867307,E7,confidence_weight,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,0.12451379499687082,-0.08244571155284725
JPM,ARIMA,0.010009274104084196,114.69362602554074,0.01462159571398608,-0.0035588169521705293,0.5639751552795031,0.04547480528096383,BASE,base_model,0,0,log_return,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample,-0.04938237807382873,0.4914077704026225
