Date,Close,High,Low,Open,Volume
2018-01-01,401.8647766113281,407.58517720904064,400.8708807446788,407.58517720904064,9453202
2018-01-02,402.48321533203125,406.19376806809856,400.38499382911994,403.30042390928554,9499419
2018-01-03,404.09552001953125,409.0429135135487,403.32248333576393,408.60116562830615,13507800
2018-01-04,406.5250549316406,407.18766205623797,404.4930912025674,405.57533083084263,9008932
2018-01-05,407.828125,409.440456111645,406.5029403315087,407.18763332904695,7441284
2018-01-08,410.16937255859375,411.25161224669074,407.9386354149987,409.08713287049676,8827020
2018-01-09,415.6467590332031,416.9498577273488,408.1594261625461,409.99258690697144,14294571
2018-01-10,416.2652282714844,418.4959652231692,413.2393686921782,416.55234523885497,11727682
2018-01-11,414.23333740234375,416.3978169727137,413.0185525832531,416.0223267698761,7849171
2018-01-12,419.2027282714844,420.8813172634133,414.45413724679906,416.55235874310455,15071161
2018-01-15,419.26898193359375,423.3991671219498,417.52416468209697,419.6444720789422,11120925
2018-01-16,407.6956787109375,418.628535172278,406.3925797408605,418.628535172278,10825151
2018-01-17,408.3803405761719,410.3681325079495,400.65003206654507,409.04294771583506,13204016
2018-01-18,406.26007080078125,410.63320166148253,404.2281068370109,410.3681705759163,9381821
2018-01-19,411.384033203125,412.75338956847435,407.3201064546497,407.717652967659,9973533
2018-01-22,429.1416931152344,430.3785342098395,415.2271791983068,418.7610151096373,45700733
2018-01-23,434.3320617675781,437.7333823817351,430.68779599967,430.68779599967,22526810
2018-01-24,426.8667907714844,433.6694316398229,425.23237357649236,433.6694316398229,14289485
2018-01-25,426.6679992675781,429.3625405987675,422.36109724488693,427.5514361058626,13669901
2018-01-29,426.0495910644531,431.70373462478835,423.75259616454235,426.8005419119207,9897064
2018-01-30,419.8211364746094,426.6238062014482,419.20270123136606,426.6238062014482,9182956
2018-01-31,424.6360168457031,426.049545211856,415.91181306733864,419.64445149338667,12551686
2018-02-01,416.9278259277344,429.6275847106691,413.7252788299651,425.4974289045024,16524809
