Date,PortfolioValue,StrategyReturn
2022-10-28,100000.0,1.0
2022-10-31,100000.0,1.0
2022-11-01,100000.0,1.0
2022-11-02,100000.0,1.0
2022-11-03,100000.0,1.0
2022-11-04,100000.0,1.0
2022-11-07,100000.0,1.0
2022-11-08,100000.0,1.0
2022-11-09,100000.0,1.0
2022-11-10,100000.0,1.0
2022-11-11,100000.0,1.0
2022-11-14,100000.0,1.0
2022-11-15,100000.0,1.0
2022-11-16,100000.0,1.0
2022-11-17,100000.0,1.0
2022-11-18,100000.0,1.0
2022-11-21,100000.0,1.0
2022-11-22,100000.0,1.0
2022-11-23,100000.0,1.0
2022-11-25,100000.0,1.0
2022-11-28,100000.0,1.0
2022-11-29,100000.0,1.0
2022-11-30,101310.39753300605,1.0131039753300606
2022-12-01,99962.33744389472,0.9996233744389472
2022-12-02,99211.86237675606,0.9921186237675607
2022-12-05,96578.27424961982,0.9657827424961982
2022-12-06,96731.14733464179,0.9673114733464179
2022-12-07,96668.60397679267,0.9666860397679267
2022-12-08,97627.54748112617,0.9762754748112616
2022-12-09,97127.22320870234,0.9712722320870234
2022-12-12,98551.7396503156,0.9855173965031561
2022-12-13,98461.39861638007,0.9846139861638007
2022-12-14,97995.81439549384,0.9799581439549384
2022-12-15,95695.78707463203,0.9569578707463202
2022-12-16,95132.93077427802,0.9513293077427802
2022-12-19,95667.9893985456,0.956679893985456
2022-12-20,96105.75898320135,0.9610575898320135
2022-12-21,97127.22320870234,0.9712722320870234
2022-12-22,96084.9093127912,0.960849093127912
2022-12-23,96515.71958500799,0.9651571958500799
2022-12-27,96835.38437992986,0.9683538437992987
2022-12-28,97335.68601567208,0.9733568601567208
2022-12-29,97863.80228764472,0.9786380228764472
2022-12-30,98475.30593449532,0.9847530593449532
2023-01-03,99184.06470066964,0.9918406470066964
2023-01-04,100059.62648350654,1.0005962648350655
2023-01-05,100038.60721165595,1.0003860721165596
2023-01-06,101851.65226323066,1.0185165226323065
2023-01-09,101452.64791447578,1.0145264791447577
2023-01-10,102313.65789372382,1.0231365789372382
2023-01-11,103034.66753727851,1.030346675372785
2023-01-12,102936.64921147285,1.0293664921147285
2023-01-13,105400.67547184882,1.0540067547184881
2023-01-17,103964.49218814942,1.0396449218814943
2023-01-18,103964.49218814942,1.0396449218814943
2023-01-19,103964.49218814942,1.0396449218814943
2023-01-20,103964.49218814942,1.0396449218814943
2023-01-23,103964.49218814942,1.0396449218814943
2023-01-24,103964.49218814942,1.0396449218814943
2023-01-25,103964.49218814942,1.0396449218814943
2023-01-26,103964.49218814942,1.0396449218814943
2023-01-27,103611.43509994335,1.0361143509994335
2023-01-30,102772.81116805859,1.0277281116805859
2023-01-31,103357.74091659374,1.0335774091659373
2023-02-01,103096.95508895702,1.0309695508895702
2023-02-02,102638.88950668163,1.0263888950668163
2023-02-03,104154.07679305859,1.041540767930586
2023-02-06,104738.9951585371,1.047389951585371
2023-02-07,105958.20020614452,1.0595820020614453
2023-02-08,105246.39490829296,1.0524639490829295
2023-02-09,103681.89622054882,1.0368189622054882
2023-02-10,104118.83484969921,1.0411883484969922
2023-02-13,105197.09488998241,1.0519709488998241
2023-02-14,105641.05686508007,1.0564105686508007
2023-02-15,106063.91465316601,1.06063914653166
2023-02-16,104668.53403793163,1.0466853403793164
2023-02-17,104964.5276597578,1.0496452765975781
2023-02-21,103125.16230331249,1.031251623033125
2023-02-22,102371.09171615429,1.0237109171615428
2023-02-23,103153.34675155468,1.0315334675155468
2023-02-24,104041.31623397655,1.0404131623397654
2023-02-27,104908.11323104687,1.0490811323104687
2023-02-28,105746.74854598827,1.0574674854598827
2023-03-01,105182.97989974804,1.0518297989974803
2023-03-02,104139.98456893749,1.041399845689375
2023-03-03,105965.25770126171,1.059652577012617
2023-03-06,105373.28184066601,1.05373281840666
2023-03-07,102413.37977157421,1.024133797715742
2023-03-08,101835.50751815624,1.0183550751815624
2023-03-09,96578.16312728712,0.9657816312728712
2023-03-10,95469.38219720373,0.9546938219720372
2023-03-13,95469.38219720373,0.9546938219720372
2023-03-14,95469.38219720373,0.9546938219720372
2023-03-15,95469.38219720373,0.9546938219720372
2023-03-16,95469.38219720373,0.9546938219720372
2023-03-17,95469.38219720373,0.9546938219720372
2023-03-20,95469.38219720373,0.9546938219720372
2023-03-21,95469.38219720373,0.9546938219720372
2023-03-22,95469.38219720373,0.9546938219720372
2023-03-23,94577.64980051236,0.9457764980051235
2023-03-24,93202.93094370083,0.9320293094370083
2023-03-27,95752.93878671841,0.9575293878671841
2023-03-28,96030.74158212857,0.9603074158212856
2023-03-29,96215.92235300258,0.9621592235300258
2023-03-30,95938.12531015591,0.9593812531015591
2023-03-31,97049.30197641566,0.9704930197641566
2023-04-03,96942.47112009244,0.9694247112009243
2023-04-04,95703.08131906705,0.9570308131906704
2023-04-05,95839.48035165982,0.9583948035165982
