Date,PortfolioValue,StrategyReturn
2022-10-28,100000.0,1.0
2022-10-31,100000.0,1.0
2022-11-01,100000.0,1.0
2022-11-02,100000.0,1.0
2022-11-03,100000.0,1.0
2022-11-04,100000.0,1.0
2022-11-07,100000.0,1.0
2022-11-08,100000.0,1.0
2022-11-09,100000.0,1.0
2022-11-10,100000.0,1.0
2022-11-11,100000.0,1.0
2022-11-14,100000.0,1.0
2022-11-15,100000.0,1.0
2022-11-16,100000.0,1.0
2022-11-17,100000.0,1.0
2022-11-18,100000.0,1.0
2022-11-21,100000.0,1.0
2022-11-22,100000.0,1.0
2022-11-23,100932.31608826511,1.0093231608826512
2022-11-25,100599.76664215917,1.0059976664215917
2022-11-28,97773.21611267918,0.9777321611267917
2022-11-29,98380.1104684531,0.983801104684531
2022-11-30,99045.16829926365,0.9904516829926365
2022-12-01,98596.25084168307,0.9859625084168306
2022-12-02,97814.79078156345,0.9781479078156345
2022-12-05,95312.4679208457,0.9531246792084569
2022-12-06,92843.39110810154,0.9284339110810154
2022-12-07,92652.18869263522,0.9265218869263522
2022-12-08,93292.32225281591,0.9329232225281591
2022-12-09,92560.73810822361,0.9256073810822361
2022-12-12,94680.64245087498,0.9468064245087497
2022-12-13,95967.85949434033,0.9596785949434032
2022-12-14,95967.85949434033,0.9596785949434032
2022-12-15,95967.85949434033,0.9596785949434032
2022-12-16,95967.85949434033,0.9596785949434032
2022-12-19,95967.85949434033,0.9596785949434032
2022-12-20,95967.85949434033,0.9596785949434032
2022-12-21,95967.85949434033,0.9596785949434032
2022-12-22,95967.85949434033,0.9596785949434032
2022-12-23,97319.21306326703,0.9731921306326703
2022-12-27,98619.31834128217,0.9861931834128217
2022-12-28,97060.92991354779,0.9706092991354779
2022-12-29,97766.92228415326,0.9776692228415326
2022-12-30,98714.02428915814,0.9871402428915814
2023-01-03,95450.84374716596,0.9545084374716596
2023-01-04,95717.76681235152,0.9571776681235151
2023-01-05,97775.54093649701,0.9777554093649701
2023-01-06,98912.06901266889,0.9891206901266889
2023-01-09,97138.41277279507,0.9713841277279507
2023-01-10,98533.21687033492,0.9853321687033492
2023-01-11,99635.29868796185,0.9963529868796186
2023-01-12,101228.13337424117,1.0122813337424117
2023-01-13,101167.85950949506,1.0116785950949505
2023-01-17,100978.44052603559,1.009784405260356
2023-01-18,101116.36079930651,1.011163607993065
2023-01-19,101116.36079930651,1.011163607993065
2023-01-20,102689.2500026324,1.026892500026324
2023-01-23,102180.1733043292,1.021801733043292
2023-01-24,103086.1424510577,1.0308614245105772
2023-01-25,102568.44275165586,1.0256844275165586
2023-01-26,106494.43690753964,1.0649443690753964
2023-01-27,104639.29127002743,1.0463929127002742
2023-01-30,102870.43957019833,1.0287043957019832
2023-01-31,104984.42440296199,1.0498442440296198
2023-02-01,103888.6071727374,1.038886071727374
2023-02-02,100790.98225666072,1.0079098225666072
2023-02-03,101455.37241626767,1.0145537241626768
2023-02-06,101291.44305683163,1.0129144305683162
2023-02-07,104043.9206340411,1.040439206340411
2023-02-08,103181.06649280574,1.0318106649280574
2023-02-09,103552.10414386776,1.0355210414386777
2023-02-10,107711.01877094296,1.0771101877094296
2023-02-13,107311.07204700497,1.0731107204700496
2023-02-14,106111.16794849423,1.0611116794849422
2023-02-15,105806.84845996884,1.0580684845996884
2023-02-16,105511.23010517149,1.055112301051715
2023-02-17,101641.99575305966,1.0164199575305966
2023-02-21,101546.35433789883,1.0154635433789883
2023-02-22,100294.29313159968,1.0029429313159968
2023-02-23,101172.46837116269,1.011724683711627
2023-02-24,101181.17660785702,1.0118117660785702
2023-02-27,101007.27468372372,1.0100727468372372
2023-02-28,100450.80699420956,1.0045080699420956
2023-03-01,101302.89303852108,1.013028930385211
2023-03-02,101746.33122516658,1.0174633122516659
2023-03-03,102972.31741596249,1.0297231741596249
2023-03-06,102113.31068364045,1.0211331068364045
2023-03-07,102113.31068364045,1.0211331068364045
2023-03-08,102113.31068364045,1.0211331068364045
2023-03-09,102113.31068364045,1.0211331068364045
2023-03-10,102113.31068364045,1.0211331068364045
2023-03-13,102113.31068364045,1.0211331068364045
2023-03-14,102504.84644167192,1.0250484644167193
2023-03-15,97665.52173464067,0.9766552173464067
2023-03-16,97128.81557314163,0.9712881557314164
2023-03-17,96046.32996217972,0.9604632996217972
2023-03-20,95719.41201986029,0.957194120198603
2023-03-21,95719.41201986029,0.957194120198603
2023-03-22,95719.41201986029,0.957194120198603
2023-03-23,93888.42130095747,0.9388842130095747
2023-03-24,93992.6517973733,0.939926517973733
2023-03-27,95964.2614470315,0.9596426144703151
2023-03-28,97110.77565296413,0.9711077565296413
2023-03-29,98708.9009581399,0.987089009581399
2023-03-30,99078.67235156495,0.9907867235156494
2023-03-31,99078.67235156495,0.9907867235156494
2023-04-03,99078.67235156495,0.9907867235156494
2023-04-04,99078.67235156495,0.9907867235156494
