Date,PortfolioValue,StrategyReturn
2022-10-28,100000.0,1.0
2022-10-31,100000.0,1.0
2022-11-01,98762.93014336328,0.9876293014336328
2022-11-02,96449.08639336328,0.9644908639336328
2022-11-03,95493.88522148828,0.9549388522148828
2022-11-04,96709.72897148828,0.9670972897148827
2022-11-07,97579.72897148828,0.9757972897148828
2022-11-08,98091.17037773828,0.9809117037773828
2022-11-09,96182.20944023828,0.9618220944023828
2022-11-10,101169.41061211328,1.0116941061211329
2022-11-11,102046.84615898828,1.0204684615898827
2022-11-14,101190.52779961328,1.0119052779961328
2022-11-15,102018.04733086328,1.0201804733086328
2022-11-16,101227.48873711328,1.0122748873711327
2022-11-17,100933.96920586328,1.0093396920586328
2022-11-18,101384.68990898828,1.0138468990898828
2022-11-21,101015.08639336328,1.0101508639336327
2022-11-22,102302.44967461328,1.0230244967461328
2022-11-23,102870.76803398828,1.0287076803398827
2022-11-25,102843.41061211328,1.0284341061211328
2022-11-28,101351.08639336328,1.0135108639336328
2022-11-29,101199.64498711328,1.0119964498711327
2022-11-30,104139.17037773828,1.0413917037773828
2022-12-01,104160.7972310342,1.041607972310342
2022-12-02,104160.7972310342,1.041607972310342
2022-12-05,104160.7972310342,1.041607972310342
2022-12-06,104160.7972310342,1.041607972310342
2022-12-07,104160.7972310342,1.041607972310342
2022-12-08,104160.7972310342,1.041607972310342
2022-12-09,103543.43872630765,1.0354343872630765
2022-12-12,104891.76294505765,1.0489176294505764
2022-12-13,105589.91919505765,1.0558991919505765
2022-12-14,105006.00317943265,1.0500600317943265
2022-12-15,102616.32153880765,1.0261632153880764
2022-12-16,101574.96411693265,1.0157496411693265
2022-12-19,100742.15942943265,1.0074215942943265
2022-12-20,100837.20435130765,1.0083720435130765
2022-12-21,101173.93354466703,1.0117393354466704
2022-12-22,100340.57249193266,1.0034057249193267
2022-12-23,100878.89671068266,1.0087889671068266
2022-12-27,100505.21507005766,1.0050521507005765
2022-12-28,99400.49436693266,0.9940049436693266
2022-12-29,100985.93577318266,1.0098593577318267
2022-12-30,100751.21507005766,1.0075121507005766
2023-01-03,100382.57249193266,1.0038257249193265
2023-01-04,101074.49436693266,1.0107449436693265
2023-01-05,99997.61741380766,0.9999761741380766
2023-01-06,102085.13694505766,1.0208513694505765
2023-01-09,102013.37717943266,1.0201337717943266
2023-01-10,102665.21507005766,1.0266521507005766
2023-01-11,103873.85764818266,1.0387385764818267
2023-01-12,104199.29319505766,1.0419929319505765
2023-01-13,104581.37717943266,1.0458137717943266
2023-01-17,104386.49436693266,1.0438649436693266
2023-01-18,102895.85764818266,1.0289585764818265
2023-01-19,102175.61741380766,1.0217561741380765
2023-01-20,103945.85764818266,1.0394585764818267
2023-01-23,105078.65647630766,1.0507865647630765
2023-01-24,105010.01389818266,1.0501001389818265
2023-01-25,104992.49436693266,1.0499249436693265
2023-01-26,106053.53342943266,1.0605353342943267
2023-01-27,106296.65647630766,1.0629665647630766
2023-01-30,105029.69553880766,1.0502969553880765
2023-01-31,106441.61741380766,1.0644161741380767
2023-02-01,107464.25413255766,1.0746425413255767
2023-02-02,108917.44944505766,1.0891744944505766
2023-02-03,107734.90246619633,1.0773490246619633
2023-02-06,107734.90246619633,1.0773490246619633
2023-02-07,107734.90246619633,1.0773490246619633
2023-02-08,107734.90246619633,1.0773490246619633
2023-02-09,107734.90246619633,1.0773490246619633
2023-02-10,107734.90246619633,1.0773490246619633
2023-02-13,107734.90246619633,1.0773490246619633
2023-02-14,107734.90246619633,1.0773490246619633
2023-02-15,107734.90246619633,1.0773490246619633
2023-02-16,107734.90246619633,1.0773490246619633
2023-02-17,107734.90246619633,1.0773490246619633
2023-02-21,107734.90246619633,1.0773490246619633
2023-02-22,107315.2830829688,1.073152830829688
2023-02-23,107847.03357125005,1.0784703357125005
2023-02-24,106790.03283882818,1.0679003283882817
2023-02-27,107095.03161812505,1.0709503161812506
2023-02-28,106792.77942085943,1.0679277942085943
2023-03-01,106323.7791767188,1.063237791767188
2023-03-02,107072.78430367193,1.0707278430367193
2023-03-03,108680.0291767188,1.086800291767188
2023-03-06,108749.52990914068,1.0874952990914069
2023-03-07,107198.28479195318,1.0719828479195317
2023-03-08,107339.2821064063,1.073392821064063
2023-03-09,105497.03357125005,1.0549703357125004
2023-03-10,104078.7840595313,1.040787840595313
2023-03-13,103933.0321064063,1.039330321064063
2023-03-14,105521.28283882818,1.0552128283882818
2023-03-15,104837.2801532813,1.048372801532813
2023-03-16,106546.03259468755,1.0654603259468756
2023-03-17,105455.0291767188,1.054550291767188
2023-03-20,106328.28357125005,1.0632828357125006
2023-03-21,107610.78479195318,1.0761078479195318
2023-03-22,105963.2811298438,1.0596328112984381
2023-03-23,106257.0311298438,1.062570311298438
2023-03-24,106813.78161812505,1.0681378161812505
2023-03-27,106977.28259468755,1.0697728259468755
