Date,Close,High,Low,Open,Volume
2010-01-04,38.923954010009766,38.98587242799845,38.38357860308109,38.68191045637819,27809100
2010-01-05,39.075931549072266,39.09281760895818,38.726941526038594,38.94646889359908,30174700
2010-01-06,39.41365814208984,39.74013621959543,39.03089177748493,39.092810181650506,35044700
2010-01-07,39.28982925415039,39.43617795521028,39.075927731103526,39.346117546444304,27192100
2010-01-08,39.13222503662109,39.261692003786166,38.96336012084514,39.227919879535456,24891800
2010-01-11,39.57128143310547,39.69511397844323,39.20540103202547,39.36864011233876,30685000
2010-01-12,39.37426376342773,39.396779941661705,39.13222021556492,39.24480110673477,31496700
2010-01-13,39.21664047241211,39.42491182403933,38.98585724530332,39.37987948403556,24884400
2010-01-14,39.22228240966797,39.25605452758916,39.03652717205824,39.14347794,18630800
2010-01-15,38.90143585205078,39.22791398583141,38.64250625114531,39.20539780820637,29411900
2010-01-19,38.99150085449219,39.03653321503933,38.51304383361507,38.69316898128136,26081900
2010-01-20,38.29351043701172,38.64813485253781,38.23722214241885,38.59184226342335,34629500
2010-01-21,37.54484558105469,38.36104049035037,37.43226904609229,38.34415443955797,39114000
2010-01-22,37.20712661743164,37.79253428217494,37.15083832735505,37.44354001246607,39085500
2010-01-25,37.06640625,37.57863960171359,36.976345838695245,37.460432896207735,29305100
2010-01-26,37.105804443359375,37.567375274137945,36.86939105809937,36.94819552,34083300
2010-01-27,36.891902923583984,37.18460456240943,36.587941051811086,36.959451437707045,35723500
2010-01-28,36.56542969,37.06640275650804,36.345902355890686,37.06640275650804,37349800
2010-01-29,36.26710510253906,37.049524064483336,36.03631749062356,36.672387732082974,40880500
2010-02-01,37.252174377441406,37.38164136324342,36.78497321694781,37.02138670977962,37703000
2010-02-02,37.69121170043945,37.78127639553902,37.415396087108846,37.56174906938512,34057900
2010-02-03,37.488582611083984,37.84320709510525,37.466066429993546,37.646191584194575,24024700
2010-02-04,36.43032455444336,37.34783580050113,36.40780838776149,37.302803467137394,33858200
2010-02-05,36.475372314453125,36.53166060770414,35.77738588293248,36.41907972668061,42297500
2010-02-08,36.45836258,37.10424466285112,36.45269573369061,36.77564109798004,30519400
2010-02-09,36.93995666503906,37.228905402665326,36.57735619,36.888967999743095,36243300
2010-02-10,36.74164962768555,36.95127972168815,36.35072367202848,36.87196116126281,21699100
2010-02-11,36.96261596679688,37.09859437213449,36.49237136325329,36.65100851360902,23555200
2010-02-12,36.71332550048828,36.90595506274282,36.41870998787397,36.611343872666026,30636200
2010-02-16,37.55183792114258,37.60849342147023,36.871963272135616,37.075926531345225,30514900
2010-02-17,37.25722885131836,37.64815485165648,37.14958036877852,37.58583250097951,21821800
2010-02-18,37.37054061889648,37.44419234,37.02493642085062,37.27989267586399,22536700
2010-02-19,37.31954956054688,37.52917534675129,37.070260168803614,37.16090810600447,24264600
2010-02-22,37.053260803222656,37.46118729231907,36.96827539757136,37.44985359954567,20469700
2010-02-23,36.79265594482422,37.14392274766632,36.345070007214815,36.97395619477015,33372900
2010-02-24,37.13824844360352,37.31954863605164,36.69632517213225,36.83230355837151,21469600
2010-02-25,36.90595626831055,36.92295249,36.46970415437101,36.605678221729896,25668800
2010-02-26,36.82664108276367,37.05326743085752,36.78131494863729,36.97394885740538,20129700
2010-03-01,37.053260803222656,37.132579362487256,36.87762314553336,37.03059774021315,18798600
2010-03-02,37.104251861572266,37.27422268390787,36.91162229729364,37.200570966249145,24823900
2010-03-03,37.07025909423828,37.376203978180776,37.041929183256784,37.262888656792335,22279800
2010-03-04,37.053260803222656,37.183568012355664,36.871960621683954,37.02493089382646,21961100
2010-03-05,37.65947723388672,37.68780282,37.268547028436814,37.370528633226506,26837900
2010-03-08,37.66515350341797,37.84078685240306,37.52351259035576,37.82945315873701,20297200
2010-03-09,37.83511734008789,38.06741049596293,37.51784310039255,37.57449859711853,29003100
