Date,Close,High,Low,Open,Volume
2010-01-04,28.829179763793945,28.923372942074383,28.03528379808488,28.11602080803954,35460500
2010-01-05,29.38758850097656,29.495235241890366,28.78207397927345,28.788803344237238,41208300
2010-01-06,29.54906272888184,29.663438855660477,29.13866122,29.232851813319943,27729000
2010-01-07,30.13440514,30.35642553610306,29.340509031396078,29.461612001030304,44864700
2010-01-08,30.06039047241211,30.07384663995679,29.656715712077737,29.851823725221813,33110100
2010-01-11,29.95946884155273,30.40351207995421,29.81145613975317,30.35641677940416,31878700
2010-01-12,29.259769439697266,29.70381272827399,28.88973122713193,29.59616594820999,47109600
2010-01-13,29.77109718322754,29.95947845,28.84264190838423,29.30014146024892,39622000
2010-01-14,30.067115783691406,30.134396618082366,29.67016784353968,29.73744867793064,37938300
2010-01-15,29.38758850097656,29.892183080228907,29.158838855722134,29.80471930120496,69738500
2010-01-19,29.11847496032715,29.43468843,28.86281551437686,29.19921195362833,41731500
2010-01-20,29.19921493530273,29.387596139239715,28.73498615917029,28.936823530031543,39934400
2010-01-21,27.275022506713867,29.03101223987172,27.12700725978071,28.957004616405136,137547700
2010-01-22,26.346574783325195,27.71907317169137,26.11782505193083,27.349037520862712,106634900
2010-01-25,26.380203247070312,26.83770252474081,26.131270646911588,26.75023874817127,56572200
2010-01-26,25.862159729003903,26.804070873037404,25.75451296,26.238924699917582,52975300
2010-01-27,26.46095085144043,26.56859763256178,25.613230204420816,25.80161142975775,66314300
2010-01-28,26.56187057495117,26.938635624890896,26.05054896178477,26.696429704679783,65047400
2010-01-29,26.19855117797852,26.81079253430015,26.104360594929176,26.67623602508732,53649000
2010-02-01,26.662782669067383,26.864620020645628,26.20528330335607,26.306200695894606,37408200
2010-02-02,27.281753540039062,27.36921734193773,26.70988056058936,26.777158828818237,45968500
2010-02-03,27.10682678222656,27.651787393194567,27.026089785674724,27.30193734080829,37373300
2010-02-04,25.80160522460937,26.857889812363585,25.80160522460937,26.77042858820637,57211800
2010-02-05,25.767963409423828,26.15818446053952,24.913516255964367,25.99671306126731,75224100
2010-02-08,25.36429786682129,25.761245859098796,25.10863579556584,25.761245859098796,58321000
2010-02-09,25.828516006469727,26.037082705072844,25.458480467948856,25.69395692887097,45173500
2010-02-10,26.151451110839844,26.575311223660115,25.915974696217717,25.996709100302382,39331800
2010-02-11,26.25237464904785,26.487851096034767,25.80833151580053,26.13127174302578,33830600
2010-02-12,26.20528984069824,26.360031934394573,25.80834183808529,26.01690604126209,38051100
2010-02-16,26.95880889892578,27.00590419241521,26.07072255526646,26.46094363446577,46425300
2010-02-17,26.93862533569336,27.214470291352264,26.750241599425628,27.086638012009708,34644100
2010-02-18,27.18757057189941,27.25484885901932,26.75698337472689,26.871356976131157,31809500
2010-02-19,26.93188477,27.38265711,26.844423582620635,26.98570940116604,40290200
2010-02-22,27.48358917236328,27.786346493240856,27.07991445552735,27.18083441798696,43898900
2010-02-23,26.83098602294922,27.752711730279863,26.75024901367085,27.51723520280543,52233100
2010-02-24,27.48358917236328,27.564326168931476,26.911716229095504,26.94535536108162,44645000
2010-02-25,27.342323303222656,27.375962459845574,26.709898432601005,27.01938277993693,46718100
2010-02-26,28.23711395263672,28.46586360175044,27.31538599110453,27.375937444296422,67699100
2010-03-01,28.142932891845703,28.378409419176997,27.86035849254649,28.277489440891205,34606800
2010-03-02,28.001644134521484,28.52642442336227,27.826719082575647,28.24385002683236,33891600
2010-03-03,27.94109344482422,28.29767549250229,27.813263694299145,28.02183045552588,27562500
2010-03-04,28.203481674194336,28.31113101935697,28.02855662130836,28.196754873372495,25450700
2010-03-05,28.802265167236328,28.84263109894784,28.38513171854152,28.47259551475188,34790800
2010-03-08,28.654247283935547,28.950275210893544,28.57351286140173,28.82917229384232,28524900
2010-03-09,28.539873123168945,28.80899131,28.290940472826925,28.519690157776704,37107100
2010-03-10,28.883007049560547,29.259772097255595,28.80227259880515,28.84263854093189,40903700
2010-03-11,29.05119132995605,29.064647493019336,28.795529364755,28.869536978352727,30119600
2010-03-12,29.031028747558597,29.293417695230445,28.829188726424118,29.158858536641617,31367300
2010-03-15,28.977195739746094,29.071386353770528,28.66098219280542,28.87627575814749,29142000
2010-03-16,29.091567993164062,29.18575859457163,28.721529821203767,29.16557306105472,28553800
2010-03-17,29.461605072021484,29.67689862,29.11175241608168,29.138664751115865,32918800
2010-03-18,29.36067771911621,29.461597666877505,29.03101068,29.43468533860771,26012000
2010-03-19,29.232852935791016,29.52888089714159,29.01755941,29.232852935791016,37014400
2010-03-22,29.42796516418457,29.46160429884372,28.957009579452023,28.977192546947222,23257200
2010-03-23,29.99311065673828,30.10075743,29.454874248672777,29.50196955,33735700
2010-03-24,30.23531723022461,30.255502765935848,29.737451835376493,29.898920722056328,35849200
2010-03-25,30.23531723022461,30.982117888998467,30.20167809270812,30.262229566838474,45019400
2010-03-26,30.289134979248047,30.874464051032074,30.134392928845426,30.302591144478853,39727000
2010-03-29,30.18149757385254,30.53135027873135,29.91237931886826,30.443886460886173,30628400
2010-03-30,29.99311065673828,30.30932159500015,29.845095387870128,30.20840419336392,30296300
2010-03-31,30.107481002807617,30.275679220700397,29.77108456702205,29.811453063256728,39043000
2010-04-01,30.430782318115234,30.51834394224572,30.30280961313365,30.329749477243755,23894600
2010-04-05,30.538545608520508,30.57895925361656,30.16809618794047,30.49813196342446,21342400
2010-04-06,30.875324249267575,30.942677768086156,30.41057880292651,30.46446110410696,28192100
2010-04-07,30.52507781982422,31.01676566151114,30.323014710406174,30.868587418269552,28890100
2010-04-08,30.82143783569336,30.962884329126368,30.181571730834555,30.417311604269702,28869900
2010-04-09,30.969627380371094,31.13127946011835,30.61264902303557,30.90227384594378,22881200
2010-04-12,31.07738304138184,31.29965424735729,30.91573359101031,31.00329263939001,24645900
2010-04-13,30.89552497863769,31.239034551473424,30.882053763097897,31.010029026040154,27988900
2010-04-14,32.14833450317383,32.28304415097464,31.5084656,31.926065768269392,72533100
2010-04-15,32.20220947265625,32.46489179181391,31.98667513030268,32.09444230147946,45412100
2010-04-16,30.68000221252441,32.16180307761908,30.40384861348102,32.10791819518495,121203900
2010-04-19,30.57222366333008,30.78102365116074,30.033387885960884,30.46445650785624,72136600
2010-04-20,30.902271270751957,31.08412888179806,30.68673689529859,30.828180847432527,39310700
2010-04-21,30.545284271240234,31.24577213620148,30.30954439811477,31.010032263076017,46320600
2010-04-22,30.13442039489746,30.390365780543583,29.65620124,30.248921872259416,63176900
2010-04-23,30.269140243530277,30.35670189646389,29.804394675263065,30.127696275280176,32483800
2010-04-26,29.561908721923828,30.181571858005924,29.454141555131976,30.16136374778925,42889300
2010-04-27,28.56506348,29.88521199,28.490973063252945,29.28575692887388,66296100
2010-04-28,29.272293090820312,29.44067950193093,28.81428184704961,28.854695510690345,48578900
2010-04-29,29.63600349426269,29.85827475376837,29.366584252929563,29.561913074427466,36520300
2010-04-30,28.67957115,29.669681376849947,28.44382866432668,29.649475832267694,54121100
2010-05-03,29.319435119628903,29.454144735004967,28.888366405923268,28.94225127982257,31230900
2010-05-04,28.6054801940918,29.20493531962948,28.457299351600284,28.942252967483515,48982200
2010-05-05,28.71323776245117,29.21165986129584,28.03295554918471,28.36299388709928,43062100
2010-05-06,27.487398147583008,28.81428129451739,26.463608479337548,28.71325099141198,78226200
2010-05-07,27.45370864868164,28.181138894775497,26.79363448243262,27.635566210205106,72976300
2010-05-10,28.25522804260254,29.164513240450628,27.89824725871409,28.504439103527226,66578300
2010-05-11,27.985824584960938,28.65937031537816,27.71640783441789,27.925205366448463,50771200
2010-05-12,28.080101013183597,28.147457080923303,27.48738303330173,28.113780331739083,47700000
2010-05-13,27.487398147583008,28.019497243765947,27.467190031463783,27.911730045496565,35320800
2010-05-14,26.86772918701172,27.009173123272998,26.409718048227663,27.009173123272998,60719400
2010-05-17,26.834041595458984,26.968751152971176,26.11334841754552,26.894660767870917,56506200
2010-05-18,26.281744,27.359415705223004,25.965176816754557,27.359415705223004,61735000
2010-05-19,26.524213790893555,26.71280564670416,25.94496444019374,25.958435654090405,64600500
2010-05-20,25.48022461,26.43665787763686,25.12998068076066,25.96517556721864,76564100
2010-05-21,26.975509643554688,27.049600095036883,24.934666626128436,24.934666626128436,89588800
2010-05-24,26.0123291,27.11020909618638,25.93150435287393,27.049589892326843,49141600
2010-05-25,26.227855682373047,26.275003652542736,25.15691844539989,25.372452757424654,66813700
2010-05-26,26.120098114013672,26.605051778762505,25.91130061786996,26.396251713246176,50719600
2010-05-27,27.22471046447754,27.27186101778172,26.53769625022265,26.65893465729644,44843000
2010-05-28,26.65893555,27.17756338743037,26.51075469564632,27.164094736748226,41252400
2010-06-01,25.958446502685547,26.914879964720768,25.9315040636324,26.483811217359968,37848600
2010-06-02,26.63872718811035,26.685875173183536,26.04600635799714,26.382779148161298,39618500
2010-06-03,26.335636138916016,26.901414636064302,26.012334507598844,26.84753231553126,30950400
2010-06-04,25.338775634765625,26.066205854308688,25.257950911273607,25.924761945854748,52868900
2010-06-07,24.73258399963379,25.682282760698342,24.69217036,25.453277258132427,44528300
2010-06-08,25.44654655456543,25.460017772036053,24.61808595041203,24.82688596714872,51017900
2010-06-09,25.00201797485352,25.702506184230696,24.927927529907617,25.695771857132517,42586000
2010-06-10,25.79006004333496,25.843942351924014,25.19733923262097,25.37919684168228,44302600
2010-06-11,25.655336380004883,25.709218659111237,25.27141582740226,25.453273336956816,31147600
2010-06-14,25.14345359802246,25.776585414083627,25.0760975094806,25.574522287202157,48662200
2010-06-15,25.763113021850582,25.78331856280596,25.09630190723197,25.29163070104037,45355600
2010-06-16,25.944969177246094,26.18744593291494,25.587990936606843,25.60819647645532,37217100
2010-06-17,25.891088485717773,26.20092137311595,25.540844512107995,25.998855664569074,34755100
2010-06-18,26.38951110839844,26.45013030206807,25.85067525876393,25.99885351155592,37270800
2010-06-21,26.180702209472656,26.79362826222382,26.03925832869265,26.63871316860222,33665100
2010-06-22,25.81700134277344,26.658933253465936,25.74291092353293,26.221127632156925,42245700
2010-06-23,26.194185256958008,26.342366095793107,25.608201365140022,25.79005896660884,45046000
2010-06-24,25.614938735961918,26.0662156309094,25.204075502604127,25.965182761621463,73843400
2010-06-25,26.564640045166016,26.67240725,25.78332717823092,26.120100010002474,70734200
2010-06-28,25.958446502685547,26.69934559104037,25.911298519028737,26.63872638785698,39962900
2010-06-29,24.961589813232425,25.53410229209529,24.840351453341466,25.53410229209529,56694200
2010-06-30,24.65850257873535,25.251223372115337,24.59114648325335,24.934656146780743,35332500
2010-07-01,24.33475685119629,24.74617932760757,23.71424622374697,24.645010878477965,56642900
2010-07-02,24.1661377,24.74617676646031,23.83564795410072,24.489881330215592,36796000
2010-07-06,24.50337600708008,24.87433217085824,24.18637584043459,24.74618185350646,35953600
2010-07-07,25.730905532836918,25.791607638513344,24.557332347387995,24.71245937903081,44602900
2010-07-08,25.73764419555664,26.182792028621076,25.05643409226326,26.155812748341827,41498200
2010-07-09,26.203022003173828,26.230001280159083,25.413897447996074,25.46110989627754,30422300
2010-07-12,26.43234634399414,26.53351736780369,26.03441092876848,26.20977369365356,24998900
2010-07-13,27.302404403686523,27.444041755304923,26.80330062001628,26.85051307055575,48564800
2010-07-14,27.21473503112793,27.234970785196687,26.87075808659972,27.07984373,37320600
2010-07-15,27.288915634155277,27.545213640169443,26.51328065565744,27.464278375649165,81876200
2010-07-16,26.304201126098636,27.214730135924466,26.20977620038469,27.167517673067497,58507400
2010-07-19,26.33118057250977,26.547009710572446,25.710669870914856,26.32443446469678,35404900
2010-07-20,26.72911834716797,26.73586188267973,25.81858667989013,25.845565967710176,43538200
2010-07-21,25.91301155090332,27.147286950339037,25.859055548281884,27.147286950339037,41115600
