Date,PortfolioValue,StrategyReturn
2022-10-28,100000.0,1.0
2022-10-31,100000.0,1.0
2022-11-01,100000.0,1.0
2022-11-02,100000.0,1.0
2022-11-03,100000.0,1.0
2022-11-04,100000.0,1.0
2022-11-07,100000.0,1.0
2022-11-08,100000.0,1.0
2022-11-09,100000.0,1.0
2022-11-10,100000.0,1.0
2022-11-11,100000.0,1.0
2022-11-14,100000.0,1.0
2022-11-15,100000.0,1.0
2022-11-16,100000.0,1.0
2022-11-17,100000.0,1.0
2022-11-18,100000.0,1.0
2022-11-21,100000.0,1.0
2022-11-22,100000.0,1.0
2022-11-23,100000.0,1.0
2022-11-25,100000.0,1.0
2022-11-28,100000.0,1.0
2022-11-29,100000.0,1.0
2022-11-30,100000.0,1.0
2022-12-01,100000.0,1.0
2022-12-02,100000.0,1.0
2022-12-05,100000.0,1.0
2022-12-06,100000.0,1.0
2022-12-07,100000.0,1.0
2022-12-08,100000.0,1.0
2022-12-09,100000.0,1.0
2022-12-12,101053.05587779301,1.01053055877793
2022-12-13,101707.93087779301,1.0170793087779302
2022-12-14,101482.08028338372,1.0148208028338372
2022-12-15,101482.08028338372,1.0148208028338372
2022-12-16,101482.08028338372,1.0148208028338372
2022-12-19,99373.11613502941,0.9937311613502942
2022-12-20,99322.95820656262,0.9932295820656262
2022-12-21,101580.45217934094,1.0158045217934093
2022-12-22,99272.77815285168,0.9927277815285168
2022-12-23,99007.61814858898,0.9900761814858898
2022-12-27,97696.12219276867,0.9769612219276868
2022-12-28,94836.61692085705,0.9483661692085705
2022-12-29,97395.130351089,0.97395130351089
2022-12-30,97624.44746437512,0.9762444746437512
2023-01-03,94141.45281258068,0.9414145281258068
2023-01-04,95065.94507637463,0.9506594507637462
2023-01-05,94105.62097969494,0.9410562097969494
2023-01-06,97402.2878879591,0.974022878879591
2023-01-09,97782.12301674328,0.9778212301674328
2023-01-10,98197.77891579113,0.9819777891579113
2023-01-11,100175.80892982922,1.0017580892982922
2023-01-12,100118.47135963879,1.0011847135963878
2023-01-13,101085.93084755383,1.0108593084755382
2023-01-17,100991.2178812062,1.009912178812062
2023-01-18,100991.2178812062,1.009912178812062
2023-01-19,100991.2178812062,1.009912178812062
2023-01-20,100991.2178812062,1.009912178812062
2023-01-23,100991.2178812062,1.009912178812062
2023-01-24,100991.2178812062,1.009912178812062
2023-01-25,100991.2178812062,1.009912178812062
2023-01-26,101380.12055259895,1.0138012055259895
2023-01-27,102712.10244012004,1.0271210244012003
2023-01-30,100731.03237176067,1.0073103237176066
2023-01-31,101603.24300408488,1.0160324300408488
2023-02-01,102374.02675652629,1.023740267565263
2023-02-02,106018.43294549113,1.0601843294549114
2023-02-03,108506.61653924113,1.0850661653924114
2023-02-06,106633.70522332317,1.0663370522332316
2023-02-07,108608.03298211223,1.0860803298211223
2023-02-08,106762.18483758098,1.0676218483758098
2023-02-09,106052.24886345988,1.0605224886345987
2023-02-10,106302.78932976848,1.0630278932976849
2023-02-13,108225.97573113567,1.0822597573113566
2023-02-14,107785.78432488567,1.0778578432488566
2023-02-15,109228.18978142863,1.0922818978142863
2023-02-16,108131.1450426591,1.081311450426591
2023-02-17,107345.64510369426,1.0734564510369426
2023-02-21,104589.55385613567,1.0458955385613566
2023-02-22,104880.72560906535,1.0488072560906536
2023-02-23,105212.54952263957,1.0521254952263956
2023-02-24,103390.96743035442,1.033909674303544
2023-02-27,103918.14799368913,1.0391814799368913
2023-02-28,103918.14799368913,1.0391814799368913
2023-03-01,103918.14799368913,1.0391814799368913
2023-03-02,103918.14799368913,1.0391814799368913
2023-03-03,103918.14799368913,1.0391814799368913
2023-03-06,103918.14799368913,1.0391814799368913
2023-03-07,103918.14799368913,1.0391814799368913
2023-03-08,103918.14799368913,1.0391814799368913
2023-03-09,103918.14799368913,1.0391814799368913
2023-03-10,103918.14799368913,1.0391814799368913
2023-03-13,103918.14799368913,1.0391814799368913
2023-03-14,103918.14799368913,1.0391814799368913
2023-03-15,103918.14799368913,1.0391814799368913
2023-03-16,103918.14799368913,1.0391814799368913
2023-03-17,103918.14799368913,1.0391814799368913
2023-03-20,103918.14799368913,1.0391814799368913
2023-03-21,103918.14799368913,1.0391814799368913
2023-03-22,103918.14799368913,1.0391814799368913
2023-03-23,103831.73099139424,1.0383173099139424
2023-03-24,104656.32713702413,1.0465632713702413
2023-03-27,103425.66724017354,1.0342566724017355
2023-03-28,103032.1202736208,1.030321202736208
2023-03-29,104981.17621234151,1.049811762123415
2023-03-30,105974.45047381612,1.0597445047381613
2023-03-31,107561.17438128682,1.0756117438128683
2023-04-03,108354.54596331807,1.0835454596331808
2023-04-04,108017.22824481221,1.0801722824481221
2023-04-05,106849.02710345479,1.0684902710345479
2023-04-06,107411.25218585225,1.0741125218585226
2023-04-10,105768.28940203878,1.0576828940203877
2023-04-11,104999.90324786397,1.0499990324786397
