Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
AAPL,ARIMA,100000.0,117632.48120306055,17632.481203060554,17.632481203060557,93.43942095255622,-75.80693974949565,0.3721110715192676,-25.95463032220289,588,73.04347826086956,157,78,51,27,65.38461538461539
AAPL,ConfidenceWeight,100000.0,111535.13127775339,11535.13127775339,11.535131277753386,93.43942095255622,-81.90428967480284,0.283843095235765,-30.730104583166362,534,66.33540372670808,141,70,41,29,58.57142857142858
AAPL,ResidualHybrid,100000.0,110562.45278625855,10562.452786258553,10.562452786258557,93.43942095255622,-82.87696816629766,0.2760577160086391,-31.872271866867997,478,59.378881987577635,181,90,51,39,56.666666666666664
AAPL,LSTM,100000.0,109165.53335867381,9165.533358673812,9.165533358673805,93.43942095255622,-84.2738875938824,0.24943991280670857,-31.965168118907883,502,62.36024844720497,81,40,20,20,50.0
AAPL,RegimeSwitching,100000.0,105933.7549603639,5933.754960363905,5.933754960363902,93.43942095255622,-87.50566599219232,0.1918015956031066,-28.65263357737865,496,61.61490683229813,145,72,45,27,62.5
AAPL,RandomForest,100000.0,94639.52284776275,-5360.477152237247,-5.360477152237242,93.43942095255622,-98.79989810479346,-0.05471890284680667,-34.537071491506445,345,42.857142857142854,285,142,83,59,58.45070422535211
GS,RandomForest,100000.0,102183.33204877481,2183.3320487748133,2.183332048774811,206.3330147876571,-204.1496827388823,0.11640281295713177,-20.472431809769397,229,28.4472049689441,250,125,66,59,52.800000000000004
GS,LSTM,100000.0,101924.82381719361,1924.82381719361,1.9248238171936105,206.3330147876571,-204.4081909704635,0.1116177216769908,-22.93438748515252,266,33.04347826086956,109,54,28,26,51.85185185185185
GS,RegimeSwitching,100000.0,92228.20554853832,-7771.794451461683,-7.771794451461678,206.3330147876571,-214.10480923911877,-0.1553746966737539,-25.983177476674868,195,24.22360248447205,232,116,59,57,50.86206896551724
GS,ConfidenceWeight,100000.0,77373.59333252284,-22626.40666747716,-22.626406667477163,206.3330147876571,-228.95942145513425,-0.5476922276386983,-32.31145982559315,251,31.180124223602483,302,151,80,71,52.980132450331126
GS,ResidualHybrid,100000.0,60215.83161097553,-39784.16838902447,-39.784168389024465,206.3330147876571,-246.11718317668158,-1.2935654614426264,-44.17578735686439,185,22.981366459627328,316,158,86,72,54.43037974683544
GS,ARIMA,100000.0,57726.88333311604,-42273.11666688396,-42.27311666688396,206.3330147876571,-248.60613145454104,-1.0242647715217645,-53.189576616833634,332,41.24223602484472,464,232,130,102,56.03448275862068
JPM,RegimeSwitching,100000.0,104276.2407206192,4276.2407206192,4.276240720619207,196.57068278636726,-192.29444206574806,0.20139649769857582,-18.621589016895555,131,16.273291925465838,154,77,37,40,48.05194805194805
JPM,RandomForest,100000.0,99232.54285604048,-767.4571439595165,-0.7674571439595157,196.57068278636726,-197.33813993032678,0.037255392128118035,-19.754701893083638,286,35.52795031055901,272,136,82,54,60.29411764705882
