Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
SPY,LSTM,100000.0,114946.29153345613,14946.291533456126,14.946291533456124,86.12270669476825,-71.17641516131212,0.5063772426263591,-9.339511923023014,324,40.24844720496895,161,80,50,30,62.5
SPY,RegimeSwitching,100000.0,101000.1523620516,1000.1523620515945,1.0001523620515984,86.12270669476825,-85.12255433271665,0.08017533695948277,-13.197221811409477,279,34.6583850931677,289,144,85,59,59.02777777777778
SPY,ConfidenceWeight,100000.0,82082.03630469592,-17917.963695304075,-17.917963695304074,86.12270669476825,-104.04067039007232,-0.5516272847048037,-24.476379845531383,369,45.838509316770185,361,180,102,78,56.666666666666664
SPY,RandomForest,100000.0,81702.90323160207,-18297.096768397925,-18.297096768397925,86.12270669476825,-104.41980346316618,-0.6589952284316509,-22.694203554448944,316,39.254658385093165,306,153,79,74,51.633986928104584
SPY,ResidualHybrid,100000.0,72836.2395604449,-27163.760439555102,-27.163760439555105,86.12270669476825,-113.28646713432336,-1.038999239645537,-32.470924592697614,287,35.65217391304348,399,199,109,90,54.773869346733676
SPY,ARIMA,100000.0,66659.30077784239,-33340.69922215761,-33.34069922215761,86.12270669476825,-119.46340591692586,-1.157780099362605,-37.47133788458734,411,51.05590062111801,475,237,147,90,62.0253164556962
