Date,ARIMA,RandomForest,LSTM,NaiveZero,ResidualHybrid,ConfidenceWeight,RegimeSwitching,ensemble,Signal,Confidence,Risk,Regime,Volatility,ATR,signal_num,conf_num,risk_num,Strategy
2022-10-17,0.00265748486782672,0.0016827369518410944,0.001726379501633346,0.0,0.001962511568069555,0.0017264003398130064,0.0016827369518410944,0.00265748486782672,HOLD,LOW,MEDIUM,Volatile,0.02340677678069087,5.055596596273562,0,0,1,ARIMA
2022-10-18,-0.0008314124633667615,-0.00084605878214576,0.0006584824295714498,0.0,-6.16684826573908e-05,-0.0008313530579212837,-0.00084605878214576,-0.0008314124633667615,HOLD,LOW,MEDIUM,Volatile,0.023173923926805257,4.997087912565186,0,0,1,ARIMA
2022-10-19,0.0011676819157372845,-0.00140155944597129,0.0004633811768144369,0.0,0.00024368866972116615,0.00046338029662195746,-0.00140155944597129,0.0011676819157372845,HOLD,LOW,MEDIUM,Volatile,0.022882176488472447,4.594587347833348,0,0,1,ARIMA
2022-10-20,0.0004650596960054149,-0.004418369726834844,-0.0004097276832908392,0.0,-0.0010505396313317639,-0.00040972857448182115,-0.004418369726834844,0.0004650596960054149,HOLD,LOW,MEDIUM,Volatile,0.022870696146735956,4.463474671032243,0,0,1,ARIMA
2022-10-21,0.0012678500332930225,-0.008228985442970207,-0.0007182765984907746,0.0,-0.001827357458163396,-0.0007182769683690883,-0.008228985442970207,0.0012678500332930225,HOLD,LOW,MEDIUM,Volatile,0.023615244357062082,4.450786930811349,0,0,1,ARIMA
2022-10-24,-0.0004127357873053132,-0.008309121568869598,-0.0007729983190074563,0.0,-0.0023164998524658463,-0.0007730009467784094,-0.008309121568869598,-0.0004127357873053132,HOLD,LOW,MEDIUM,Volatile,0.023869606405728275,4.483211074582597,0,0,1,ARIMA
2022-10-25,0.0005192365298892175,-0.003476837688048881,-0.000508732395246625,0.0,-0.000882897733129277,-0.0005087330294615102,-0.003476837688048881,0.0005192365298892175,HOLD,LOW,MEDIUM,Volatile,0.024227597106512358,4.395802299867147,0,0,1,ARIMA
2022-10-26,-0.0002111595173751072,0.006607591372408084,-5.93534205108881e-05,0.0,0.0013501572983840534,-5.9347068760607064e-05,0.006607591372408084,-0.0002111595173751072,HOLD,LOW,MEDIUM,Volatile,0.02447722033403511,4.535374543885557,0,0,1,ARIMA
2022-10-27,0.0019361615561316636,0.004438604910330341,0.00017451425082981586,0.0,0.0015663454766586561,0.0019361617238481685,0.004438604910330341,0.0019361615561316636,HOLD,LOW,MEDIUM,Volatile,0.02270117823586183,4.481802227818371,0,0,1,ARIMA
2022-10-28,0.0020573974563578143,0.00567755327391532,0.000371132860891521,0.0,0.0019697064116515482,0.0020573977726033995,0.00567755327391532,0.0020573974563578143,HOLD,LOW,HIGH,Volatile,0.026621479366156844,5.14300631633702,0,0,2,ARIMA
2022-10-31,-0.0022562953737541806,-0.00316325015105498,0.0006654022727161646,0.0,-0.0009377696401966593,-0.0022562946156217826,-0.00316325015105498,-0.0022562953737541806,HOLD,LOW,HIGH,Volatile,0.02638942249523068,5.191646425514075,0,0,2,ARIMA
2022-11-01,0.0022872561699025682,0.00422066027922549,0.0004923805827274919,0.0,0.0017764788929440622,0.0022872562097361777,0.00422066027922549,0.0022872561699025682,HOLD,LOW,HIGH,Volatile,0.02628694514636896,5.482067671145965,0,0,2,ARIMA
2022-11-02,0.0008720774338712475,0.0016561475898256089,5.3649942856281996e-05,0.0,0.0006179691716371421,0.0008720773805968396,0.0016561475898256089,0.0008720774338712475,HOLD,LOW,HIGH,Volatile,0.02773262664837168,5.337561716574423,0,0,2,ARIMA
2022-11-03,0.0031536190224740928,0.010733501157083271,0.0010892478749155998,0.0,0.003730714752933899,0.003153619374520911,0.010733501157083271,0.0031536190224740928,HOLD,LOW,HIGH,Volatile,0.02932973339057859,5.334037190497647,0,0,2,ARIMA
2022-11-04,0.0027732945406113508,-0.0007148044156461057,0.002159933792427182,0.0,0.0016966971360089145,0.002159932514979354,-0.0007148044156461057,0.0027732945406113508,HOLD,LOW,HIGH,Volatile,0.028143681644132147,5.600754749472169,0,0,2,ARIMA
2022-11-07,0.0014690227856854346,-0.000630129266381459,0.004389293026179075,0.0,0.0025275952406161144,0.0014690229194151392,-0.000630129266381459,0.0014690227856854346,HOLD,LOW,HIGH,Volatile,0.02815410519201579,5.417180977367688,0,0,2,ARIMA
2022-11-08,0.0011944398187261787,-0.004425563244514965,-0.000420459546148777,0.0,-0.0008652642658298565,-0.00042045991505970865,-0.004425563244514965,0.0011944398187261787,HOLD,LOW,HIGH,Volatile,0.02807339498765016,5.452181515565035,0,0,2,ARIMA
