Ticker,Model,MAE,MAPE,RMSE,R2,DirectionalAccuracy,IC,ARIMA_d_meta,ARIMA_d_test,target_mode,residual_weight_RandomForest,residual_weight_LSTM,base_train_fraction,meta_train_fraction,test_fraction,look_back,train_fraction,meta_fraction_of_train,lstm_units,epochs,batch_size,random_state,rf_estimators,arima_refit_every,meta_min_rmse_improvement,meta_l2_strength,meta_max_weight,trading_selection_min_margin,trading_selection_min_trades,trading_selection_min_exposure,buy_threshold,sell_threshold,starting_cash,commission,slippage,stacking_mode
GS,RegimeSwitching,0.012115147889805404,134.21700112925748,0.01716352107816825,-0.03481890968831869,0.4956521739130435,0.021579785059720587,0,0,log_return,0.125235801423714,-0.08656831810134047,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,ARIMA,0.010009274104084196,114.69362602554074,0.01462159571398608,-0.0035588169521705293,0.5639751552795031,0.04547480528096383,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,RandomForest,0.010424175551834594,176.64491586132831,0.01488006338396393,-0.03935246437619666,0.4993788819875776,0.052870482597722965,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,LSTM,0.010183630734419732,117.01002959760835,0.014668583347375292,-0.010019209181821642,0.453416149068323,-0.013500880229648727,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,NaiveZero,0.010064633169702958,100.0,0.01466278595901663,-0.00922099760918127,0.5739130434782609,0.0,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,ResidualHybrid,0.010057178925375223,109.10733980232705,0.014621487974572602,-0.0035440275349152284,0.5055900621118012,0.02069539177407968,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,ConfidenceWeight,0.010088015406590108,114.00158995296523,0.014648395171770644,-0.0072409703938434156,0.48074534161490684,0.019416557150747346,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
JPM,RegimeSwitching,0.010188252100749366,119.53960619360045,0.014747126206282955,-0.020864453042543474,0.48198757763975153,0.014591293030094812,0,0,log_return,-0.04886034253270102,0.38896385299130626,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,ARIMA,0.011007984144298513,105.60987817795319,0.014498244420720226,-0.004918726286474051,0.4968944099378882,-0.03656476115250302,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
XOM,RandomForest,0.01154243444242965,185.72871535882746,0.01503889843277118,-0.08126503051578227,0.493167701863354,-0.0031247980722314654,0,0,log_return,-0.06686353561368771,0.35747234030156066,0.6,0.2,0.2,30,0.8,0.2,64,20,32,42,100,20,0.01,0.0,0.7,0.02,4,5.0,0.0003,-0.0003,100000.0,0.001,0.0005,paper_like_in_sample
