Strategy,Tickers,TotalFinalValue,AvgFinalValue,AvgReturn,AvgAlpha,AvgSharpe,AvgMaxDrawdown,AvgExposure
LSTM,6,632415.9861176149,105402.66435293581,5.40266435293582,-101.14598072141439,0.15399077766026573,-17.622287011646005,39.73084886128364
RegimeSwitching,6,555550.718541859,92591.78642364316,-7.408213576356839,-113.95685865070705,-0.19511131847018803,-23.23038446737951,31.34575569358178
RandomForest,6,538319.8051459651,89719.96752432751,-10.280032475672497,-116.8286775500227,-0.25063539545085306,-23.332477573490824,32.04968944099379
ConfidenceWeight,6,516983.11069648317,86163.8517827472,-13.836148217252807,-120.38479329160303,-0.3902320780646272,-27.75213493757306,39.02691511387163
ARIMA,6,479058.6632878414,79843.11054797357,-20.156889452026423,-126.70553452637664,-0.5350557457321613,-33.54402378357354,42.88529601029601
ResidualHybrid,6,475416.0412503522,79236.00687505871,-20.763993124941297,-127.3126381992915,-0.6491120831702345,-31.09017670267797,32.98136645962733
