Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
GS,RandomForest,100000.0,102183.33204877481,2183.3320487748133,2.183332048774811,206.3330147876571,-204.1496827388823,0.11640281295713177,-20.472431809769397,229,28.4472049689441,250,125,66,59,52.800000000000004
GS,LSTM,100000.0,92580.16615091503,-7419.833849084971,-7.4198338490849665,206.3330147876571,-213.75284863674207,-0.13906888106389897,-24.018030312136386,230,28.57142857142857,106,53,28,25,52.83018867924528
GS,RegimeSwitching,100000.0,87909.51063907973,-12090.48936092027,-12.090489360920264,206.3330147876571,-218.42350414857736,-0.3426423477806709,-25.476177501014995,161,20.0,214,107,64,43,59.813084112149525
GS,ConfidenceWeight,100000.0,72844.6301094785,-27155.3698905215,-27.1553698905215,206.3330147876571,-233.48838467817862,-0.7379917452655093,-34.46301250154392,231,28.695652173913043,298,149,83,66,55.70469798657718
GS,ResidualHybrid,100000.0,65567.34356346796,-34432.65643653204,-34.43265643653204,206.3330147876571,-240.76567122418913,-1.1219278526537138,-38.65599402484962,178,22.111801242236027,296,148,80,68,54.054054054054056
GS,ARIMA,100000.0,57726.88333311604,-42273.11666688396,-42.27311666688396,206.3330147876571,-248.60613145454104,-1.0242647715217645,-53.189576616833634,332,41.24223602484472,464,232,130,102,56.03448275862068
