Ticker,Strategy,Starting Cash,Final Value,Profit Loss,Total Return %,Buy Hold Return %,Alpha %,Sharpe Ratio,Max Drawdown %,Invested Days,Exposure %,Total Trades,Completed Trades,Won,Lost,Win Rate %
XOM,LSTM,100000.0,101805.73753885551,1805.7375388555083,1.805737538855512,30.083656407759875,-28.27791886890436,0.13095936831609126,-24.60928401590776,727,90.31055900621118,31,15,8,7,53.333333333333336
XOM,RandomForest,100000.0,61423.67510710846,-38576.32489289154,-38.57632489289154,30.083656407759875,-68.65998130065142,-0.9232589315769808,-42.53645669213654,371,46.08695652173913,327,163,85,78,52.14723926380368
XOM,ResidualHybrid,100000.0,48280.86904036458,-51719.13095963542,-51.719130959635415,30.083656407759875,-81.8027873673953,-1.219199883105994,-54.626160150897384,502,62.36024844720497,371,185,96,89,51.891891891891895
XOM,ConfidenceWeight,100000.0,47617.65019455876,-52382.34980544124,-52.382349805441244,30.083656407759875,-82.46600621320111,-1.217702554650631,-54.24670594470924,524,65.09316770186335,341,170,91,79,53.529411764705884
XOM,RegimeSwitching,100000.0,42454.9533328964,-57545.0466671036,-57.545046667103605,30.083656407759875,-87.62870307486348,-1.5218148925234127,-59.207269657215924,450,55.90062111801242,401,200,109,91,54.50000000000001
XOM,ARIMA,100000.0,39215.92342770028,-60784.07657229972,-60.78407657229972,30.083656407759875,-90.86773298005959,-1.9773388785084645,-62.25733902084869,345,42.857142857142854,507,253,136,117,53.75494071146245
